text,Gender equality - general,Equal pay,Increased awareness,Advocacy and Activism,Policy Changes,Media Coverage,Changing attitudes /societal,Representation and role models,Legal Frameworks,Gender inclusivity in traditionally masculine sports,Access to resources and education,Race related themes,Transgender related themes,Other,Country,Gender,Most inclusive Sport,Age,Least inclusive brands,ResponseId
But you,,,,,,,,,,,,,,1,Sweden,Woman,Tennis,35-44,Golf,155087341
There are many people who take doping,,,,,,,,,,,,,,1,Poland,Man,Gymnastics,18-24,Cycling,155087345
Because women are more committed to each other,,,,,,,,,,,,,,1,Germany,Man,Football,25-34,Gymnastics,155087352
There’s more fair rights for women and men,,,,1,,,,,,,,,,,UK,Man,Football,25-34,Golf,155087392
You see more women,,,,,,1,,,,,,,,,Germany,Woman,Football,55-65,Golf,155087394
We know have women's football teams,,,,,,,,,,1,,,,,UK,Woman,Basketball,25-34,Rugby,155087398
Something's going on,,,,,,,,,,,,,,1,Germany,Man,Tennis,55-65,Basketball,155087408
See more women’s sports on TV,,,,,,1,,,,1,,,,,UK,Woman,Golf,55-65,Handball,155087424
We are heading in the right direction,,,,,,,,,,,,,,1,Sweden,Woman,Gymnastics,25-34,Football,155087454
Female sports and practitioners are highlighted more in the media,,,,,,1,,1,,1,,,,,Sweden,Woman,Athletics,35-44,Rugby,155087462
All genders included,,,,,,,,,,1,,,,,UK,Woman,Athletics,45-54,Gymnastics,155087485
has changed,,,,,,,1,,,,,,,,Germany,Man,Tennis,55-65,Basketball,155087486
I believe they are more gender inclusive due to society pressure but also because individuals of different genders are showing more interest in a variety of sports,,,,,,,1,,,1,,,,,UK,Woman,Athletics,25-34,Rugby,155087495
The woman became more inclusive,,,,,,,1,,,,,,,,Sweden,Woman,Cycling,45-54,Rugby,155087507
I think no,,,,,,,,,,,,,,1,UK,Man,Cycling,25-34,Golf,155087509
Because laws are being endoforce for others to follow,,,,,,,,,,,,,,1,UK,Woman,Football,35-44,Handball,155087510
This survey alone shows that the topic is relevant.,,,,,,,,,,,,,,1,Germany,Man,Volleyball,45-54,Cycling,155087513
"More media, more people who dare to speak out",,,,,,1,,,,,,,,,Sweden,Woman,Golf,25-34,Rugby,155087536
More women are playing,,,,,,,,,,1,,,,,UK,Man,Basketball,55-65,Rugby,155087540
There has been more focus on eg women's football.,,,,,,,,,,1,,,,,Sweden,Woman,Athletics,35-44,Rugby,155087543
Because of the euros,,,,,,,,,,,,,,1,UK,Woman,Athletics,25-34,Football,155087546
"The professional sports sector is more gender inclusive now due to increased awareness, advocacy, and efforts to promote diversity and equality.",,,1,,,,,,,1,,,,,UK,Man,Tennis,25-34,Golf,155087553
More dare to come out?,,,,,,,,,,,,,,1,Sweden,Woman,Tennis,35-44,Rugby,155087565
See more coverage of women's football,,,,,,1,,,,1,,,,,UK,Woman,Tennis,25-34,Golf,155087574
You see more females taking part in sports which are traditionally classed as male only sports.,,,,,,1,,,,1,,,,,UK,Woman,Tennis,55-65,Rugby,155087576
Society’s interest has increased,,,,,,,1,,,,,,,,Germany,Man,Gymnastics,25-34,Rugby,155087583
MoreMoney is being invested into it.,,,,,,,,,,,,,,1,UK,Man,Athletics,45-54,Cycling,155087589
It needs to be,,,,,,,,,,,,,,1,UK,Woman,Football,35-44,Basketball,155087590
There are professional women's teams,,,,,,,,,,1,,,,,UK,Man,Unstated,35-44,,155087597
Sports for women are increasingly being adapted to men.,,,,,,,,,,1,,,,,Germany,Man,Football,55-65,Rugby,155087601
Moving with the times,,,,,,,1,,,,,,,,UK,Woman,Tennis,35-44,Handball,155087610
They are under pressure not to be judged,,,,,,,,,,,,,,1,UK,Woman,Rugby,35-44,Gymnastics,155087613
There is more than gender around,,,,,,,,,,,,,,1,UK,Woman,Football,35-44,Golf,155087622
"Yes, that's right, it was a very nice experience",,,,,,,,,,,,,,1,Germany,Man,Football,45-54,Gymnastics,155087623
Women are more recognized and promoted nowadays,,,,,,,,,,,,,,1,Germany,Woman,Football,55-65,Volleyball,155087630
Pressure from the public and groups,,,,,,1,,,,,,,,,UK,Man,Volleyball,45-54,Football,155087633
We can see female football teams now,,,,,,,,,,1,,,,,UK,Woman,Unstated,35-44,,155087651
It’s becoming more acceptable to have gender equality across sport,1,,,,,,,,,1,,,,,UK,Woman,Gymnastics,45-54,Basketball,155087652
Current movements are also forcing sport to be more fair,,,,,,,,,,1,,,,,Germany,Man,Gymnastics,25-34,Golf,155087654
Women's football is getting talked about and viewd a lot more than ever before,,,,,,,,,,1,,,,,UK,Woman,Athletics,35-44,Golf,155087657
As the female sports are gaining popularity,,,,,,,,,,1,,,,,UK,Man,Cycling,18-24,Handball,155087659
Because anybody and everyone can claim to he whatever they want and still get to play,,,,,,,,,,,,,,1,UK,Woman,Gymnastics,45-54,Rugby,155087667
"Is increasingly in focus, although still negative due to scandals but performance dominates",,,,,,,,,,,,,,1,Germany,Woman,Handball,55-65,Golf,155087680
More sports are welcoming all genders,,,,,,,,,,1,,,,,UK,Woman,Athletics,55-65,Handball,155087695
More women's football. Otherwise poor,,,,,,,,,,,,,,1,Germany,Woman,Tennis,55-65,Football,155087704
There seems to be more women seen in sports they were not seen in so much before.,,,,,,,,,,1,,,,,UK,Man,Gymnastics,45-54,Cycling,155087708
Because we humans move forward with time and develop,,,,,,,,,,,,,,1,Germany,Woman,Cycling,18-24,Golf,155087711
Because the old men in power are forced to listen to the people,,,,,,,,,,,,,,1,Sweden,Man,Gymnastics,35-44,Rugby,155087713
It's becoming normal nowadays,,,,,,,,,,,,,,1,UK,Man,Gymnastics,55-65,Rugby,155087722
More sports are open to all,,,,,,,,,,,,,,1,UK,Man,Football,45-54,Volleyball,155087731
Because they are forced to,,,,,,,,,,,,,,1,UK,Woman,Football,45-54,Handball,155087742
It is good,,,,,,,,,,,,,,1,UK,Man,Football,35-44,Rugby,155087793
There are some spots for women there are some spots for men I feel like everyone should be able to play the same sport without any danger separation,,,,,,,,,,1,,,,,UK,Woman,Gymnastics,25-34,Rugby,155087794
"Recognizable in football, golf etc.",,,,,,,,,,1,,,,,Germany,Woman,Athletics,55-65,Rugby,155087808
It’s gradually changing,,,,,,,1,,,,,,,,UK,Man,Tennis,45-54,Basketball,155087815
More in the media,,,,,,1,,,,,,,,,Germany,Man,Gymnastics,55-65,Rugby,155087830
Probably to make more money,,,,,,,,,,,,,,1,UK,Man,Tennis,45-54,Rugby,155087834
Women in sports are accepted,,,,,,,,,,,,,,1,Germany,Man,Unstated,55-65,,155087836
Women can participate in more sports now then before.,,,,,,,,,,,,,,1,UK,Woman,Football,55-65,Handball,155087844
Women's football has increased in popularity a lot and drawn attention to women in sport generally.,,,,,,,,,,1,,,,,UK,Man,Tennis,35-44,Basketball,155087879
As its in more out there noe,,,,,,,,,,,,,,1,UK,Woman,Football,25-34,Athletics,155087892
Atletics,,,,,,,,,,1,,,,,UK,Woman,Football,35-44,Gymnastics,155087923
Women's sports are getting more and more attention and more associations invest in activities for young girls,,,,,,,,,,,,,,1,Sweden,Man,Athletics,35-44,Rugby,155087933
Because more sports are open to women,,,,,,,,,,1,,,,,UK,Woman,Athletics,25-34,Golf,155087940
"There is a general change in thinking in society; more thought is being given to the fact that people, regardless of their origin, are all born equal and do not always have the same opportunities, but this is not their fault and therefore should not be disadvantaged in any area.",,,,,,,1,,,,,,,,Germany,Woman,Football,35-44,Golf,155087955
It’s been demanded by society,,,,,,,1,,,,,,,,UK,Man,Handball,45-54,Basketball,155087957
Rise in popularity of women in sports like football and rugby,,,,,,,,,,1,,,,,UK,Man,Athletics,45-54,Basketball,155087962
You see more often,,,,,,1,,,,,,,,,Germany,Woman,Football,55-65,Golf,155087982
Gender inclusivity is much more prevalent in day to day discussion so sports have responded in kind by either promoting the female teams more or created those teams in the mainly male dominated sports,,,,,,,,,,1,,,,,UK,Man,Tennis,25-34,Golf,155088010
More women play in the league,,,,,,,,,,1,,,,,UK,Man,Rugby,18-24,Volleyball,155088028
They have to be,,,,,,,,,,,,,,1,UK,Woman,Rugby,45-54,Handball,155088049
Sports are opening their eyes to more women participation,,,,,,,,,,1,,,,,UK,Woman,Gymnastics,55-65,Golf,155088056
People have campaigned for it,,,,1,,,,,,,,,,,UK,Man,Gymnastics,25-34,Rugby,155088057
It is very modern and stylish,,,,,,,,,,,,,,1,UK,Man,Rugby,45-54,Gymnastics,155088066
Different genders are now more recognised,,,,,,,,,,1,,,,,UK,Man,Athletics,55-65,Golf,155088128
Football,,,,,,,,,,,,,,1,UK,Woman,Unstated,55-65,,155088184
Tenis,,,,,,,,,,,,,,1,UK,Man,Basketball,55-65,Rugby,155088246
Media awareness,,,1,1,,1,,,,,,,,,UK,Man,Football,25-34,Rugby,155088258
More participation and acceptance of women in sport,,,,,,,,,,1,,,,,UK,Man,Football,35-44,Volleyball,155088306
Women are included in almost all aspects,,,,,,,,,,1,,,,,UK,Woman,Football,35-44,Rugby,155088308
Since COVID things have changed,,,,,,,,,,,,,,1,UK,Man,Tennis,45-54,Rugby,155088365
Increased interest,,,1,,,1,1,,,,,,,,UK,Man,Football,35-44,Cycling,155088383
More modern way of thinking in society,,,,,,,1,,,,,,,,Germany,Man,Gymnastics,35-44,Rugby,155088386
It is becoming more normalized,,,,,,,1,,,,,,,,Sweden,Man,Football,18-24,Rugby,155088429
Because they gave rights to both men and women,,,,1,,,,,,,,,,,UK,Man,Football,35-44,Athletics,155088441
I think I heard it like that,,,,,,1,,,,,,,,,Germany,Man,Tennis,45-54,Rugby,155088448
"The professional sports sector has become more gender-inclusive due to a combination of societal changes, policy developments, and strategic initiatives.",,,,,,,1,,,1,,,,,UK,Man,Football,25-34,Rugby,155088473
Football,,,,,,,,,,,,,,1,UK,Man,Unstated,35-44,,155088487
A lot of women in quota,,,,,,,,,,,,,,1,Sweden,Man,Football,55-65,Rugby,155088504
Women’s football first of all,,,,,,,,,,1,,,,,UK,Woman,Unstated,25-34,,155088513
A clearer mindset has emerged to include women even more with more rights.,,,,1,,,1,,,,,,,,Sweden,Man,Volleyball,25-34,Basketball,155088577
We see and hear more about women in sports.,,,,,,1,,,,1,,,,,UK,Man,Football,55-65,Basketball,155088586
Pressure,,,,,,,,,,,,,,1,UK,Man,Gymnastics,55-65,Rugby,155088637
All good,,,,,,,,,,,,,,1,UK,Man,Football,35-44,Rugby,155088659
Society moved that way,,,,,,,1,,,,,,,,UK,Man,Tennis,55-65,Handball,155088660
Men definitely see and hear more about women in the sports business,,,,,,1,,,,1,,,,,Germany,Man,Gymnastics,45-54,Golf,155088689
We live in a politically correct society that favours nonsense over sporting abilities,,,,,,,1,,,,,,,,UK,Woman,Football,45-54,Handball,155088781
more inclusive,,,,,,,,,,1,,,,,Sweden,Man,Golf,55-65,Rugby,155088787
Wokenuss,,,,,,,,,,,,,,1,UK,Man,Gymnastics,45-54,Rugby,155088788
Level of gender reveal,,,,,,,,,,,,,,1,UK,Man,Handball,35-44,Golf,155088798
It offer many privileges,,,,,,,,,,,,,,1,UK,Man,Basketball,25-34,Rugby,155088806
More and more possibilities,,,,,,,,,,,,,,1,Germany,Man,Football,55-65,Rugby,155088867
Basketball,,,,,,,,,,,,,,1,UK,Woman,Basketball,35-44,Cycling,155088907
more femal team live on tv,,,,,,1,,,,,,,,,UK,Man,Athletics,55-65,Rugby,155088964
I love doing that,,,,,,,,,,,,,,1,UK,Man,Athletics,35-44,Handball,155089038
Because women's sports have their own leagues & television coverage,,,,,,,,,,1,,,,,UK,Man,Football,55-65,Rugby,155089091
More people working on it,,,,,,,,,,,,,,1,Sweden,Man,Football,35-44,Rugby,155089136
More publicity regards the subject,,,1,,,1,,,,,,,,,UK,Woman,Cycling,45-54,Football,155089154
Keep getting an overload of female football and Rugby matches on BBC and Sky.. Saturated female punditry used in make sporting programmes,,,,,,,,,,,,,,1,UK,Man,Tennis,45-54,Handball,155089173
It appears that way,,,,,,,,,,,,,,1,UK,Man,Athletics,55-65,Handball,155089180
Football,,,,,,,,,,,,,,1,UK,Man,Golf,25-34,Gymnastics,155089203
"The society is changing, and more women are coming out to participate.",,,,,,,1,,,1,,,,,UK,Man,Athletics,25-34,Golf,155089227
All genders Sr currently been given equal participation and recognition in sports,,,,,,,,,,1,,,,,UK,Woman,Athletics,45-54,Rugby,155089243
People have been influenced by the women’s soccer game,,,,,,,,,,1,,,,,UK,Woman,Football,55-65,Handball,155089270
It’s more inclusive,,,,,,,,,,,,,,1,UK,Woman,Gymnastics,18-24,Basketball,155089325
More excepted,,,,,,,,,,,,,,1,UK,Man,Unstated,55-65,,155089347
Football advertised more womens games,,,,,,,,,,1,,,,,UK,Man,Tennis,35-44,Rugby,155089351
Too many crying,,,,,,,,,,,,,,1,UK,Man,Cycling,35-44,Handball,155089398
It is more lively,,,,,,,,,,,,,,1,UK,Man,Football,25-34,Rugby,155089444
Women winning a cup in football,,,,,,,,,,1,,,,,UK,Woman,Tennis,45-54,Rugby,155089475
There are much women's participation in sports now,,,,,,,,,,1,,,,,UK,Man,Athletics,25-34,Golf,155089514
It is welcoming,,,,,,,,,,,,,,1,UK,Man,Football,35-44,Athletics,155089524
Because it common,,,,,,,,,,,,,,1,UK,Man,Basketball,35-44,Volleyball,155089550
Why do you think the professional sports sector is more gender inclusive now?,,,,,,,,,,1,,,,,UK,Man,Football,25-34,Golf,155089565
It because they finding all possible way to curtail it,,,,,,,,,,,,,,1,UK,Man,Football,25-34,Cycling,155089586
Every gender is recognized and included in professional sports,,,,,,,,,,1,,,,,UK,Woman,Football,25-34,Tennis,155089636
Public perceptions,,,1,,,1,1,,,,,,,,UK,Man,Tennis,55-65,Basketball,155089679
Don't want to lose money by excluding others,,,,,,,,,,,,,,1,UK,Man,Football,55-65,Basketball,155089680
More women can play traditionial male sports sugh as football as professional competetive level,,,,,,,,,,1,,,,,UK,Man,Cycling,55-65,Tennis,155089735
Yes,,,,,,,,,,,,,,1,UK,Man,Gymnastics,45-54,Cycling,155089750
Because both genders participate,,,,,,,,,,1,,,,,UK,Man,Basketball,25-34,Rugby,155089772
New age,,,,,,,,,,,,,,1,UK,Man,Gymnastics,25-34,Rugby,155089777
Steady evolution over time,,,,,,,,,,,,,,1,UK,Man,Gymnastics,45-54,Rugby,155089822
More women playing sports,,,,,,,,,,1,,,,,UK,Man,Unstated,55-65,,155089858
Due to media coverage,,,1,,,1,,,,,,,,,UK,Man,Football,55-65,Cycling,155089883
Because I see more sports including women in men sports and vise versa,,,,,,1,,,,1,,,,,UK,Man,Football,25-34,Rugby,155089895
People’s perceptions,,,,,,,1,,,,,,,,UK,Woman,Football,55-65,Volleyball,155089913
More visible,,,1,,,,,,,,,,,,UK,Man,Volleyball,45-54,Rugby,155089942
Yes more professional women's events,,,,,,,,,,1,,,,,UK,Man,Volleyball,55-65,Football,155089974
more awareness,,,1,,,,1,,,,,,,,UK,Man,Tennis,18-24,Football,155089987
"It is only fair, and many clubs/organisations are seeing the public demand for more inclusion in modern times.",,,,,,,,,,1,,,,,UK,Man,Athletics,25-34,Cycling,155090000
Opinions have changed,,,,,,,1,,,,,,,,UK,Man,Volleyball,35-44,Golf,155090049
Blue haired activists with nothing better to do.,,,,1,,,,,,,,,,,UK,Man,Gymnastics,55-65,Rugby,155090053
it has programes for all sexes,,,,,,,,,,,,,,1,UK,Man,Tennis,45-54,Volleyball,155090085
Female athletes get more space and also the sports.,,,,,,,,,,1,,,,,Sweden,Man,Tennis,35-44,Gymnastics,155090106
Evolution,,,,,,,,,,,,,,1,UK,Man,Gymnastics,45-54,Handball,155090132
Policies,,,,,1,,,,1,,,,,,UK,Man,Gymnastics,25-34,Volleyball,155090157
In my company I have several people of different ethnicities so is very important,,,,,,,,,,,,1,,,UK,Man,Unstated,45-54,,155090174
More mixed teams,,,,,,,,,,,,,,1,UK,Man,Athletics,45-54,Golf,155090195
There are many more opportunities for women's professional sports and they are more available on main stream tv/ radio,,,,,,1,,,,1,,,,,UK,Man,Athletics,55-65,Rugby,155090203
More have been done,,,,,,,,,,,,,,1,UK,Man,Tennis,35-44,Football,155090212
Pressure from groups for equality,,,,,,,,,,,,,,1,UK,Man,Football,35-44,Handball,155090236
It is not just men teams shown on tv,,,,,,1,,,,1,,,,,UK,Man,Gymnastics,55-65,Rugby,155090245
"Because gender inclusivity is spread across all sporting activities, for active participation and decision making",,,,,,,,,,1,,,,,UK,Woman,Football,35-44,Rugby,155090253
There are more choices available now,,,,,,,,,,,,,,1,UK,Man,Basketball,45-54,Handball,155090261
There is more focus on women's sport and LGBTQ rights are spoken about much more.,,,,1,,,,,,1,,,1,,UK,Man,Rugby,45-54,Gymnastics,155090279
Because otherwise they look like the villains,,,,,,,,,,,,,,1,UK,Man,Tennis,18-24,Golf,155090298
It’s much more acceptable to the masses,,,,,,,,,,,,,,1,UK,Man,Football,55-65,Golf,155090311
Women are getting in participation of sport now than then,,,,,,,,,,1,,,,,UK,Man,Athletics,35-44,Golf,155090338
Because it allows all genders to participate lately,,,,,,,,,,1,,,,,UK,Man,Football,25-34,Golf,155090385
I know women in stereotypically male sports (rugby) who I know wouldn’t have been allowed to play it years ago,,,,,,,,,,1,,,,,UK,Man,Football,18-24,Golf,155090481
More coverage and funding for female sport,,,,,,1,,,,1,,,,,UK,Man,Unstated,45-54,,155090544
Has to be,,,,,,,,,,,,,,1,UK,Woman,Golf,25-34,Football,155090587
Women now able to participate in any sport unlike the past,,,,,,,,,,1,,,,,UK,Man,Football,25-34,Gymnastics,155090688
The world is evolving,,,,,,,1,,,,,,,,UK,Man,Football,18-24,Handball,155090902
Because that's how the community has turned into,,,,,,,,,,,,,,1,UK,Man,Golf,18-24,Volleyball,155091029
More female teams,,,,,,,,,,1,,,,,UK,Man,Basketball,35-44,Gymnastics,155091195
More inclusive of women in traditionally male dominated sports - eg football,,,,,,,,,,1,,,,,UK,Woman,Volleyball,35-44,Rugby,155091699
We see a lot more of both on tv and reporting of results and wins on tv news,,,,,,1,,,,,,,,,UK,Woman,Volleyball,45-54,Football,155091781
I mean that its good that now they are including all the same amount,,,,,,,,,,,,,,1,UK,Man,Football,35-44,Basketball,155091885
Can't get away from it,,,,,,,,,,,,,,1,UK,Man,Tennis,55-65,Gymnastics,155091968
Changed and e solved society,,,,,,,1,,,,,,,,UK,Woman,Gymnastics,45-54,Handball,155091983
More emphasis on women’s game,,,,,,,,,,1,,,,,UK,Man,Unstated,45-54,,155091985
Because people aren't so predictable now and neither are they neive,,,,,,,,,,,,,,1,UK,Woman,Unstated,35-44,,155092050
It is displayed more and is better seen,,,,,,,,,,,,,,1,Spain,Woman,Athletics,45-54,Rugby,155120177
It has been given more visibility in the media,,,1,,,1,,,,,,,,,Spain,Man,Tennis,35-44,Basketball,155120202
Has more following in the media,,,,,,1,,,,,,,,,Spain,Man,Football,35-44,Golf,155120228
Because women have been demanding justice and equality,,,,1,,,,,,,,,,,Spain,Woman,Tennis,45-54,Rugby,155120231
Why do women participate more in sports such as football ⚽️,,,,,,,,,,1,,,,,Spain,Man,Athletics,45-54,Rugby,155120234
Because we have moved forward,,,,,,,,,,,,,,1,Spain,Man,Gymnastics,35-44,Football,155120245
"For example, women's soccer has much more voice than a few years ago.",,,,,,,,,,1,,,,,Spain,Man,Volleyball,18-24,Basketball,155120251
"Because a few years ago almost no one knew that a women's soccer venue existed, for example.",,,,,,,,,,,,,,1,Spain,Woman,Football,25-34,Rugby,155120263
Professionalism,,,,,,,,,,,,,,1,Spain,Man,Football,45-54,Rugby,155120265
Basketball,,,,,,,,,,,,,,1,Spain,Woman,Football,25-34,Handball,155120269
Because I think there was less before,,,,,,,,,,,,,,1,Spain,Man,Football,35-44,Athletics,155120281
Because it tends to be more noticeable.,,,,,,,,,,,,,,1,Spain,Woman,Volleyball,25-34,Basketball,155120287
Women's competitions are beginning to have more media coverage than a decade ago,,,,,,1,,,,1,,,,,Spain,Woman,Gymnastics,35-44,Rugby,155120296
Because more women participate and give more voice to gender inclusion,,,,,,,,,,1,,,,,Spain,Woman,Gymnastics,25-34,Golf,155120311
"Little by little, women are having opportunities to develop certain sports professionally.",,,,,,,,,,1,,,,,Spain,Woman,Volleyball,35-44,Cycling,155120321
More recognition of women,,,1,,,,,,,,,,,,Spain,Woman,Volleyball,18-24,Basketball,155120323
The media covers the subject more,,,,,,1,,,,,,,,,Sweden,Man,Football,55-65,Athletics,155120329
television business,,,,,,,,,,,,,,1,Spain,Man,Gymnastics,45-54,Rugby,155120336
Because society has changed,,,,,,,1,,,,,,,,Spain,Woman,Volleyball,18-24,Football,155120339
Due to pressure from feminist lobbies,,,,,,,,,,,,,,1,Spain,Man,Basketball,25-34,Rugby,155120343
More opportunities for women in sports considered masculine,,,,,,,,,,1,,,,,Spain,Woman,Tennis,45-54,Rugby,155120346
"Compared to years ago, there is greater inclusion due to new government LGBT protection laws",,,,,,,,,,,,,1,,Spain,Woman,Athletics,18-24,Football,155120351
Why are you talking about it?,,,,,,,,,,,,,,1,Spain,Man,Gymnastics,45-54,Handball,155120355
there is some more freedom,,,,,,,,,,,,,,1,Spain,Man,Gymnastics,55-65,Football,155120365
Due to the insistence of the women,,,,,,,,,,,,,,1,Spain,Woman,Rugby,18-24,Athletics,155120367
media and media pressure,,,,,,1,,,,,,,,,Spain,Man,Athletics,45-54,Golf,155120375
social pressure,,,,,,,,,,,,,,1,Spain,Woman,Football,25-34,Golf,155120382
Why is he more empathetic?,,,,,,,,,,,,,,1,Spain,Man,Volleyball,35-44,Tennis,155120383
More visibility is being given,,,1,,,1,,,,,,,,,Spain,Man,Athletics,35-44,Cycling,155120384
Policy,,,,,1,,,,,,,,,,Spain,Man,Football,35-44,Rugby,155120389
It's fashionable,,,,,,,,,,,,,,1,Spain,Man,Basketball,45-54,Tennis,155120395
For the demands of athletes for their commercial development,,,,,,,,,,,,,,1,Spain,Man,Gymnastics,55-65,Rugby,155120399
Attention among a lot of people,,,1,,,1,,,,,,,,,Sweden,Woman,Athletics,35-44,Cycling,155120401
smaller selection,,,,,,,,,,,,,,1,Sweden,Woman,Gymnastics,55-65,Basketball,155120429
people enjoy both,,,,,,,,,,,,,,1,Spain,Man,Tennis,45-54,Rugby,155120431
Because we have advanced as a society,,,,,,,1,,,,,,,,Spain,Man,Football,25-34,Rugby,155120434
"No one can miss that, right?",,,,,,,,,,,,,,1,Sweden,Man,Athletics,55-65,Rugby,155120459
You see on television that women are also included,,,,,,,,,,1,,,,,Sweden,Woman,Tennis,25-34,Volleyball,155120466
Equality in society,,,,,,,1,,,,,,,,Sweden,Man,Tennis,25-34,Rugby,155120468
because you are more aware,,,1,,,,,,,,,,,,Spain,Man,Athletics,25-34,Gymnastics,155120476
Acceptance has grown,,,,,,,1,,,,,,,,Sweden,Man,Gymnastics,35-44,Rugby,155120494
because there is more inclusion ethically,,,,,,,,,,,,,,1,Spain,Man,Football,45-54,Athletics,155120507
Because in every sport discipline there are sports competitions for women and men,,,,,,,,,,1,,,,,Poland,Woman,Basketball,45-54,Rugby,155120508
Greater visibility of women's sports,,,1,,,,,,,1,,,,,Spain,Man,Gymnastics,55-65,Rugby,155120519
Women's sports are getting more and more attention in the media.,,,,,,1,,,,1,,,,,Sweden,Man,Gymnastics,45-54,Rugby,155120529
Is even,,,,,,,,,,,,,,1,Spain,Man,Handball,25-34,Football,155120550
better consideration of women's sport,,,,,,,,,,1,,,,,France,Man,Gymnastics,45-54,Golf,155120551
women are allowed to participate in more sports,,,,,,,,,,1,,,,,Poland,Woman,Football,45-54,Golf,155120566
More women participate,,,,,,,,,,1,,,,,Spain,Man,Athletics,45-54,Rugby,155120567
"Feels like more female sports are shown on TV, such as football",,,,,,1,,,,1,,,,,Sweden,Woman,Unstated,55-65,,155120574
Why do you watch the women's matches?,,,,,,,,,,,,,,1,Spain,Man,Golf,45-54,Handball,155120576
Society is changing although there is still much to do,,,,,,,1,,,,,,,,Spain,Man,Athletics,55-65,Rugby,155120580
More and more women practice the same sport as men,,,,,,,,,,1,,,,,Poland,Man,Volleyball,55-65,Rugby,155120589
Because society wants it that way,,,,,,,1,,,,,,,,Spain,Man,Football,45-54,Handball,155120592
because that's my opinion,,,,,,,,,,,,,,1,Poland,Woman,Football,25-34,Golf,155120602
Because now everything is more equal,1,,,,,,,,,,,,,,Poland,Man,Gymnastics,35-44,Rugby,155120619
People's views are changing and they are more open to what is new,,,,,,,1,,,,,,,,Poland,Woman,Gymnastics,35-44,Football,155120620
There are more women who want to participate,,,,,,,,,,1,,,,,Spain,Man,Athletics,45-54,Golf,155120624
"An example is tennis, where prizes are increasingly equal for both sexes.",,1,,,,,,,,1,,,,,Poland,Man,Cycling,45-54,Rugby,155120632
Society is increasingly aware of issues of gender equality and inclusion.,1,,,,,,1,,,1,,,,,France,Man,Football,55-65,Rugby,155120641
No barriers in most disciplines,,,,,,,,,,1,,,,,Poland,Woman,Gymnastics,35-44,Athletics,155120670
Because there are no contraindications to practicing sports for women and men,,,,,,,,,,1,,,,,Poland,Woman,Football,45-54,Golf,155120680
Because now a lot of people are looking for solutions and everything is being hyped up by the media,,,,,,1,,,,,,,,,Germany,Woman,Cycling,35-44,Football,155120686
Because giant steps are being taken,,,,,,,1,,,,,,,,Spain,Man,Tennis,45-54,Football,155120689
Because everyone can play everything,,,,,,,,,,,,,,1,Spain,Man,Handball,35-44,Golf,155120692
more mixed tests,,,,,,,,,,,,,,1,Spain,Man,Tennis,45-54,Rugby,155120705
The times they Are a changing,,,,,,,1,,,,,,,,Spain,Man,Cycling,45-54,Gymnastics,155120714
We are moving towards a more just and balanced society,,,,,,,1,,,,,,,,Spain,Man,Football,55-65,Rugby,155120718
empowerment of women's sports,,,,,,,,,,1,,,,,Spain,Man,Cycling,55-65,Gymnastics,155120730
more female action,,,,,,,,,,,,,,1,Spain,Man,Athletics,35-44,Rugby,155120735
Women are rightly and increasingly successfully demanding justice in public,,,,1,,,,,,,,,,,Germany,Man,Gymnastics,55-65,Rugby,155120738
People are globally connected to such an extent that it promotes the exchange of cultural norms,,,,,,,,,,,,,,1,Poland,Man,Volleyball,35-44,Rugby,155120739
"There is more promotion and knowledge of women's sports in different disciplines. Even due to the novelty, doubts and problems are arising in the process of placing transsexual athletes in the categories.",,,,,,,,,,1,,,1,,Spain,Man,Gymnastics,55-65,Rugby,155120746
Because women are now getting more attention,,,,,,,,,,,,,,1,Germany,Man,Tennis,55-65,Football,155120754
Because everyone is on equal footing,,,,,,,,,,,,,,1,France,Man,Basketball,25-34,Rugby,155120758
there is room for everyone,,,,,,,,,,,,,,1,Poland,Man,Volleyball,18-24,Basketball,155120761
Because potemos encouraged it,,,,,,,,,,,,,,1,Spain,Man,Tennis,45-54,Rugby,155120773
"It has long been known that in professional sports they are paid less and ignored, and now all this is slowly being fixed,",,,,,,,,,,,,,,1,Poland,Man,Athletics,45-54,Rugby,155120781
04/04/2024 13:27:46daniel_roblex@hotmail.comUNION HOURSDaniel Robles CuestaLEÓN MONTAÑA ORIENTAL PARK04/05/202409:00 to 14:30 (5h30m),,,,,,,,,,,,,,1,Spain,Man,Volleyball,45-54,Tennis,155120791
The media talks more about them and the industry moves more money.,,,,,,1,,,,,,,,,Spain,Man,Gymnastics,25-34,Rugby,155120794
salaries are rising,,,,,,,,,,,,,,1,Spain,Man,Volleyball,35-44,Golf,155120805
"Because we hear from various media outlets, the Internet, radio and television, about sports such as women's MMA, etc.",,,,,,1,,,,,,,,,Poland,Man,Gymnastics,35-44,Rugby,155120808
People become aware of injustices.,,,1,1,,,1,,,,,,,,Spain,Man,Gymnastics,55-65,Football,155120809
because women will earn more,,,,,,,,,,,,,,1,Poland,Man,Tennis,45-54,Basketball,155120813
"Change of mentality in society, society is continually demanding equality between people at all levels, I think there is still a long way to go but things are improving little by little.",,,,,,,1,,,,,,,,Spain,Man,Tennis,45-54,Football,155120826
