text,Sport specific mention,Equal opportunities / good opportunities in general,Physical contact/Masculine,Earnings related,Popularity and impact,Equal representation,Inclusive sport participation,Gender Equality,Women in Sports,Female representation,Discrimination themes,Media visibility / awareness,Other,Country,Gender,Most inclusive Sport,Age,Least inclusive Sport,ResponseId
Seems so on tv,,,,,,,,,,,,1,,UK,Man,Gymnastics,55-65,Rugby,155090245
Football (soccer) promotes gender inclusivity arising from opportunities women are given to partake fully and make decisions. It has also gone ahead to include women in the men's league,1,1,,,,,1,,,1,,,,UK,Woman,Football,35-44,Rugby,155090253
I think it is very good sport,,,,,,,,,,,,,1,UK,Man,Basketball,45-54,Handball,155090261
LOTS ON TV,,,,,,,,,,,,1,,UK,Man,Football,55-65,Rugby,155090277
"Women's rugby is professional, disability rugby is at the forefront of disability sport and I know of several LGBTQ rugby teams, all be it amatur",1,,,,,,,,,,,,,UK,Man,Rugby,45-54,Gymnastics,155090279
Because you can see a mix of men and women,,,,,,,,,,1,,,,UK,Man,Tennis,18-24,Golf,155090298
The participants are treated fairly,,,,,,,,,,,,,1,UK,Woman,Gymnastics,55-65,Cycling,155090302
More and more girls are playing,,,,,,,,,,,,,1,UK,Man,Football,55-65,Golf,155090311
It’s very inclusive for them,,,,,,,1,,,,,,,UK,Man,Athletics,35-44,Golf,155090338
Because it gives room to all genders to participate.,,,,,,,,,,,,,1,UK,Man,Football,25-34,Golf,155090385
Female footballers,1,,,,,,,,,,,,,UK,Woman,Football,35-44,Golf,155090418
Because it has a mixture of men's and women's tournaments at Wimbledon,,,,,,,,,,1,,,,UK,Woman,Tennis,45-54,Football,155090451
Both the men’s and the women’s is televised and widely watched,,,,,,1,,,,,,,,UK,Man,Football,18-24,Golf,155090481
More talent than anything else,,,,,,,,,,,,,1,UK,Woman,Golf,25-34,Football,155090587
Both genders are given equal rights to participate,,,,,,,,1,,,,,,UK,Man,Football,25-34,Gymnastics,155090688
Winnings have been made equal for each sex.,,,,,,,,1,,,,,,UK,Man,Tennis,45-54,Basketball,155090759
Well rounded,,,,,,,,,,,,,1,UK,Man,Football,18-24,Handball,155090902
Equal coverage on tv and participation by all genders,,,,,,,,,,,,1,,UK,Man,Athletics,35-44,Rugby,155090979
Because I'm good at it,,,,,,,,,,,,,1,UK,Man,Golf,18-24,Volleyball,155091029
Because the sports are played equally,,,,,,,,1,,,,,,UK,Woman,Athletics,45-54,Basketball,155091122
Both women and men participate,,,,,,,,,,1,,,,UK,Woman,Volleyball,25-34,Tennis,155091152
Woman participated,,,,,,,,,,1,,,,UK,Man,Basketball,35-44,Gymnastics,155091195
I see the biggest representation of female atheletes,,,,,,,1,,,,,,,UK,Woman,Tennis,18-24,Rugby,155091304
Every gender plays it,,,,,,,,,,,,,1,UK,Man,Volleyball,55-65,Cycling,155091409
Mixed / coed teams,,,,,,,,,,,,,1,UK,Woman,Volleyball,35-44,Rugby,155091699
It seems equal when you see it on the tv,,,,,,,,,,,,1,,UK,Woman,Volleyball,45-54,Football,155091781
There is most equality,,,,,,,,1,,,,,,UK,Man,Football,35-44,Basketball,155091885
Just seems to be,,,,,,,,,,,,,1,UK,Man,Tennis,55-65,Gymnastics,155091968
Just more common.,,,,,,,,,,,,,1,UK,Woman,Gymnastics,45-54,Handball,155091983
There have always been men and women without problems,,,,,,,,,,1,,,,Spain,Woman,Athletics,45-54,Rugby,155120177
Because women and men participate equally,,,,,,,,1,,,,,,Spain,Man,Tennis,35-44,Basketball,155120202
"The best gymnasts are women, or not?",1,,,,,,,,,,,,,Spain,Man,Gymnastics,45-54,Football,155120225
It is the most followed,,,,,,,,,,,,,1,Spain,Man,Football,35-44,Golf,155120228
"They have been televising men's and women's championships for years, it is normalized",,,,,,,,,,1,,,,Spain,Woman,Tennis,45-54,Rugby,155120231
It is where more women participate,,,,,,,,,,1,,,,Spain,Man,Athletics,45-54,Rugby,155120234
I BELIEVE IT YES,,,,,,,,,,,,,1,Spain,Woman,Basketball,45-54,Volleyball,155120242
Best deal,,,,,,,,,,,,,1,Spain,Man,Gymnastics,35-44,Football,155120245
They do not see themselves doing careers like the male gender,,,,,,,,,,,,,1,Spain,Woman,Cycling,45-54,Tennis,155120247
It is more associated,,,,,,,,,,,,,1,Spain,Man,Golf,25-34,Basketball,155120258
There's a lot of machismo there.,,,1,,,,,,,,,,,Spain,Man,Football,55-65,Rugby,155120260
because they both participate,,,,,,1,,,,,,,,Spain,Man,Cycling,18-24,Volleyball,155120262
"Both the women's league and the men's league games are watched and although women in this sector do not earn as much as men, they can make a living from it",,,,,,,,,,1,,,,Spain,Woman,Football,25-34,Rugby,155120263
Advances,,,,,,,,,,,,,1,Spain,Man,Football,45-54,Rugby,155120265
Tennis,1,,,,,,,,,,,,,Spain,Woman,Football,25-34,Handball,155120269
because the majority are women,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,18-24,Football,155120270
Because it is better seen by society and flexibility is usually attributed to women,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,18-24,Rugby,155120274
I believe that men are given the same opportunities as women.,,1,,,,,,,,,,,,Spain,Man,Football,35-44,Athletics,155120281
Because both men and women play it.,,,,,,1,,,,,,,,Spain,Woman,Volleyball,25-34,Basketball,155120287
Both women's and men's matches are popular,,,,,1,,,,,,,,,Sweden,Woman,Football,18-24,Rugby,155120295
It is in which the same publicity is given to women's competitions as to men's,,,,,,,,1,,,,,,Spain,Woman,Gymnastics,35-44,Rugby,155120296
Because it is the sport most practiced by women,,,,,,,,,1,1,,,,Spain,Woman,Basketball,25-34,Rugby,155120297
Because there it seems to be more equal and women who practice the sport have a say,,,,,,,,1,,,,,,Sweden,Woman,Rugby,25-34,Football,155120310
"Because it is considered a more feminine sport because it is linked to elasticity, although I do not consider it that way.",,,,,,,,,,,,,1,Spain,Woman,Gymnastics,25-34,Golf,155120311
Everyone gets the same conditions,,,,,,,,1,,,,,,Sweden,Man,Athletics,25-34,Handball,155120317
For associating more with the female gender,,,,,,,,,,1,,,,Spain,Woman,Volleyball,35-44,Cycling,155120321
Women and men can access,,,,,,,,,,1,,,,Spain,Woman,Volleyball,18-24,Basketball,155120323
That the media reports more on women's football,1,,,,,,,,,,,1,,Sweden,Man,Football,55-65,Athletics,155120329
Both men and women have had Olympics and world championships for many years.,,,,,,1,,,,,,,,Spain,Man,Gymnastics,45-54,Rugby,155120336
Because I've seen a lot of girls play it,,,,,,,,,,1,,,,Spain,Woman,Volleyball,18-24,Football,155120339
It is where women are most represented in the world of sports.,,,,,,,,,,1,,,,Spain,Man,Basketball,25-34,Rugby,155120343
Equal opportunities,,1,,,,,,1,,,,,,Spain,Woman,Tennis,45-54,Rugby,155120346
Why you only have to move a stick,,,,,,,,,,,,,1,Spain,Woman,Golf,18-24,Rugby,155120347
Because from what I see in the competitions it is quite inclusive with genders,,,,,,,1,,,,,,,Spain,Woman,Athletics,18-24,Football,155120351
Because a sport that is in many sports competitions,1,,,,,,,,,,,,,Spain,Man,Gymnastics,45-54,Handball,155120355
Anyone can access. Although it looks like a man,,,,,,,,,,,,,1,Spain,Man,Football,25-34,Golf,155120359
is respectful of it,,,,,,,,,,,,,1,Spain,Man,Gymnastics,55-65,Football,155120365
There are no deaths just,,,,,,,,,,,,,1,Spain,Woman,Rugby,18-24,Athletics,155120367
there is more of everything,,,,,,,,,,,,,1,Spain,Man,Athletics,45-54,Golf,155120375
Because for many years men and women have had the same importance. Both female and male competitions have been echoed in the media.,,,,,,,,,,,,1,,Spain,Woman,Gymnastics,55-65,Rugby,155120381
there are more female players than any other sport,,,,,,,,,,1,,,,Spain,Woman,Football,25-34,Golf,155120382
Both genders look the same,,,,,,1,,,,,,,,Spain,Man,Volleyball,35-44,Tennis,155120383
All categories are for all genders,,,,,,,,,,,,,1,Spain,Man,Athletics,35-44,Cycling,155120384
It is the one that generates the most money,,,,1,,,,,,,,,,Spain,Man,Football,35-44,Rugby,155120389
I like,,,,,,,,,,,,,1,Spain,Man,Basketball,45-54,Tennis,155120395
It is the most equal in development and opportunities,,1,,,,,,1,,,,,,Spain,Man,Gymnastics,55-65,Rugby,155120399
Different branches with people from different countries,,,,,,,,,,,,,1,Sweden,Woman,Athletics,35-44,Cycling,155120401
Have seen,,,,,,,,,,,,,1,Sweden,Woman,Athletics,35-44,Rugby,155120428
everyone can join,,,,,,,1,,,,,,,Sweden,Woman,Gymnastics,55-65,Basketball,155120429
He has achieved more achievements thanks to his triumphs,,,,,,,,,,,,,1,Spain,Man,Football,25-34,Rugby,155120434
Due to physical effort,,,1,,,,,,,,,,,Spain,Man,Handball,35-44,Basketball,155120442
Large in both women's and men's,,,,,,1,,,,,,,,Sweden,Woman,Football,35-44,Tennis,155120463
There you see both,,,,,,1,,,,,,,,Sweden,Woman,Tennis,25-34,Volleyball,155120466
It is very popular for both sexes.,,,,,1,,,,,1,,,,Sweden,Man,Tennis,25-34,Rugby,155120468
because it favors both men and women,,,,,,1,,,,,,,,Spain,Man,Athletics,25-34,Gymnastics,155120476
Because I think so,,,,,,,,,,,,,1,Sweden,Man,Tennis,25-34,Rugby,155120483
Both women and men are present as strength athletes in this sport,,,,,,1,,,,,,,,Germany,Woman,Athletics,25-34,Football,155120486
Is not tied to gender at all,,,,,,,,,,,,,1,Sweden,Man,Gymnastics,35-44,Rugby,155120494
because it is more egalitarian,,,,,,,,1,,,,,,Spain,Man,Football,45-54,Athletics,155120507
"Because sports achievements count, regardless of gender",,,,,,,,,,,,,1,Poland,Woman,Basketball,45-54,Rugby,155120508
There are both women and men,,,,,,,,,,1,,,,Spain,Man,Gymnastics,55-65,Rugby,155120519
"Because it is a sport where women, just like men, achieve great results",,,,,,,,,,1,,,,Poland,Woman,Volleyball,25-34,Football,155120527
Everyone is really welcome. In Örebro there are the first 2 professionals. 1 woman and 1 man.,,,,,,,1,,,,,,,Sweden,Man,Gymnastics,45-54,Rugby,155120529
we consider that football is only for boys,1,,,,,,,,,,,,,France,Woman,Football,55-65,Gymnastics,155120531
It's inclusive,,,,,,,1,,,,,,,Spain,Man,Handball,25-34,Football,155120550
has been around for a long time - well known,,,,,1,,,,,,,,,France,Man,Gymnastics,45-54,Golf,155120551
There are usually more women than men,,,,,,,,,,1,,,,Spain,Man,Gymnastics,45-54,Cycling,155120552
Easy access to this sport for all genders,,,,,,,,,,,,,1,Poland,Woman,Athletics,25-34,Rugby,155120559
"the commentators are both men and women, and there are fans of both sexes in the stands",,,,,,1,,,,,,,,Poland,Woman,Football,45-54,Golf,155120566
There is participation of everyone,,,,,,,1,,,,,,,Spain,Man,Athletics,45-54,Rugby,155120567
for their participation as men,,,,,,,,,,,,,1,Spain,Man,Golf,45-54,Handball,155120576
There are women and men competing in all categories,,,,,,,,,,1,,,,Spain,Man,Athletics,55-65,Rugby,155120580
Because their teams reach the final stages of different championships,,,,,,,,,,,,,1,France,Woman,Handball,45-54,Golf,155120582
There is no distinction between women and men in performance,,,,,,,,,,1,,,,Sweden,Man,Athletics,25-34,Rugby,155120585
Because positions are getting closer,,,,,,,,,,,,,1,Spain,Man,Football,45-54,Handball,155120592
Because women are recognized in this sport,,,,,,,,,1,1,,,,Poland,Woman,Volleyball,35-44,Football,155120593
because for me it is like that,,,,,,,,,,,,,1,Poland,Woman,Football,25-34,Golf,155120602
It is often considered a woman's sport,,,,,,,,,,1,,,,France,Woman,Gymnastics,18-24,Rugby,155120610
Because it is the most equal for women and men,,,,,,,,1,,,,,,Poland,Man,Gymnastics,35-44,Rugby,155120619
Both genders are often seen developing professionally,,,,,,1,,,,,,,,Poland,Woman,Gymnastics,35-44,Football,155120620
it's the one where I only see the masculine,,,1,,,,,,,,,,,France,Woman,Volleyball,55-65,Handball,155120621
It is much more accessible to men,,,,,,,,,,1,,,,France,Woman,Football,25-34,Gymnastics,155120622
There is more variety of competitions,,,,,,,,,,,,,1,Spain,Man,Athletics,45-54,Golf,155120624
because we have the most organizations there and a lot of money is pumped into promoting this sport,,,,1,,,,,,,,,,Poland,Man,Football,35-44,Cycling,155120626
Female athletes compete in similar competitions to men and I believe they are paid similarly,,,,,,,,,,1,,,,Poland,Man,Cycling,45-54,Rugby,155120632
We saw very few women,,,,,,,,,,1,,,,France,Woman,Golf,55-65,Gymnastics,155120638
"Football is the most popular sport in the world, with millions of fans and participants of all genders.",1,,,,1,,,,,,,,,France,Man,Football,55-65,Rugby,155120641
Because men have the advantage in this sport,,,,,,,,,,,,,1,Poland,Woman,Rugby,45-54,Gymnastics,155120642
it’s the sport where we hear the most about the male and female side,,,,,,,,,,,,1,,France,Woman,Football,18-24,Rugby,155120649
You were drinking,,,,,,,,,,,,,1,France,Man,Handball,18-24,Gymnastics,155120654
"because it is a contact sport, very physical",,,1,,,,,,,,,,,France,Man,Rugby,18-24,Gymnastics,155120662
Women are sexualized while men are respected,,,,,,,,,,,,,,France,Woman,Athletics,18-24,Football,155120665
there are as many women as men,,,,,,,,,,1,,,,France,Woman,Athletics,25-34,Tennis,155120668
There is equality,,,,,,,,1,,,,,,Poland,Woman,Gymnastics,35-44,Athletics,155120670
Because I see more women than men in this sport,,,,,,,,,,1,,1,,Poland,Woman,Gymnastics,18-24,Rugby,155120672
Individually,,,,,,,,,,,,,1,France,Man,Gymnastics,45-54,Rugby,155120673
There are no restrictions on the type of people who participate in sports,,,,,,,,,,,,,1,Poland,Woman,Football,45-54,Golf,155120680
Because it gives equal opportunities,,1,,,,,,1,,,,,,Poland,Man,Athletics,45-54,Rugby,155120682
Because I think that cyclists’ bodies are very similar,,,,,,,,,,,,,1,Germany,Woman,Cycling,35-44,Football,155120686
I consider that any sport that is not a team sport is more inclusive than another that is a team sport.,1,,,,,,1,,,,,,,Spain,Man,Tennis,45-54,Football,155120689
Because they are adapted,,,,,,,,,,,,,1,Spain,Man,Handball,35-44,Golf,155120692
We often hear in the street that football is for boys,1,,,,,,,,,,,1,,France,Man,Football,18-24,Gymnastics,155120699
I just think so,,,,,,,,,,,,,1,Poland,Man,Athletics,35-44,Rugby,155120701
mixed matches,,,,,,,,,,,,,1,Spain,Man,Tennis,45-54,Rugby,155120705
It is very normalized,,,,,,,,,,,,,1,Spain,Man,Cycling,45-54,Gymnastics,155120714
In recent years he has overcome countless obstacles to become professional and little by little he will achieve it with an influx of spectators,,,,,,,,,,,,,1,Spain,Man,Football,55-65,Rugby,155120718
These are my feelings,,,,,,,,,,,,,1,Poland,Man,Football,18-24,Gymnastics,155120719
I think,,,,,,,,,,,,,1,Spain,Man,Volleyball,45-54,Athletics,155120720
performing the same tests,,,,,,,,1,,,,,,Spain,Man,Cycling,55-65,Gymnastics,155120730
due to the variety of disciplines,,,,,,,,,,,,,1,Spain,Man,Athletics,35-44,Rugby,155120735
Volleyball was not seen as a typically male sport and this helped the sport to be seen as more inclusive.,1,,,,,,1,,,,,,,Poland,Man,Volleyball,35-44,Rugby,155120739
"There is as much representation and known participants in the male category as in the female category. As these are mostly individual tests, the difficulties that forming a team could entail do not arise.",,,,,,,1,,,,,,,Spain,Man,Gymnastics,55-65,Rugby,155120746
equal chances,,,,,,,,1,,,,,,Poland,Man,Volleyball,45-54,Rugby,155120751
Because women are often more popular than men,,,,,1,,,,,1,,,,Germany,Man,Tennis,55-65,Football,155120754
Compared to athlete treatments,,,,,,,,,,,,,1,France,Man,Basketball,25-34,Rugby,155120758
because it is most popular among both lungs,,,,,1,,,,,,,,,Poland,Man,Volleyball,18-24,Basketball,155120761
Everyone has fun,,,,,,,1,,,,,,,Sweden,Man,Volleyball,18-24,Handball,155120763
Because the physical female dog doesn't play a big role,,,1,,,,,,,,,,,Poland,Man,Golf,25-34,Football,155120764
"Because there are two types, male and female.",,,,,,,,,,1,,,,Spain,Man,Tennis,45-54,Rugby,155120773
Women are being given importance,,,,,,,,,,1,,,,Spain,Man,Football,45-54,Golf,155120777
I think that gender does not matter when deciding in this discipline,,,,,,,,,,,,,1,Poland,Man,Athletics,45-54,Rugby,155120781
because gymnasts in the Olympic games attract as much or more attention than men,1,,,,,,,,,,,,,Spain,Man,Gymnastics,25-34,Rugby,155120794
She is one of the first I saw women in sports.,,,,,,,,,,1,,,,Spain,Man,Volleyball,35-44,Golf,155120805
Everyone can do a little better or a little worse.,,,,,,,1,,,,,,,Poland,Man,Gymnastics,35-44,Rugby,155120808
There are more female gymnasts than male gymnasts.,1,,,,,,,,,,,,,Spain,Man,Gymnastics,55-65,Football,155120809
there are the same tournaments for men and women,,,,,,,,1,,,,,,Poland,Man,Tennis,45-54,Basketball,155120813
"It has women's tournaments as prestigious as the men's, they are televised like the men's, professional tennis players earn the same as men, they have an equal or greater following from the public than men.",1,,,,,,,,,,,,,Spain,Man,Tennis,45-54,Football,155120826
Because I believe in respect and equality.,,,,,,,,1,,,,,,Spain,Man,Football,45-54,Gymnastics,155120831
This is the experience in this area,,,,,,,,,,,,,1,Poland,Man,Gymnastics,55-65,Rugby,155120833
Exactly,,,,,,,,,,,,,1,France,Man,Football,55-65,Golf,155120837
For everyone,,,,,,,1,,,,,,,France,Man,Golf,45-54,Gymnastics,155120867
Many women practice it,,,,,,,,,,1,,,,France,Man,Gymnastics,55-65,Rugby,155120869
Everyone pursues the same goal,,,,,,,,1,,,,,,Germany,Woman,Athletics,25-34,Football,155120886
A sport that deploys all the energy,1,,,,,,,,,,,,,France,Man,Basketball,55-65,Gymnastics,155120892
I watch women's football more often,1,,,,,,,,,1,,,,Germany,Man,Football,25-34,Gymnastics,155120907
"Because there is, -again-, that is to say 25 years after the first introduction of a women's competition, a Women's TOUR DE FRANCE and, for example, for the TOUR DES FLANDRES, just after the he arrival of the runners in this event, there was _ and this was filmed and broadcast by EUROSPORTS 2_ an event reserved for female runners.",,,,,,,,,,,,1,,France,Man,Cycling,55-65,Basketball,155120911
Individual sport,,,,,,,,,,,,,1,France,Man,Tennis,55-65,Rugby,155120913
Because it is a niche sport,,,,,,,,,,,,,1,Poland,Man,Cycling,35-44,Golf,155120928
There are all kinds of things mixed up,,,,,,,,,,,,,1,France,Man,Athletics,35-44,Tennis,155120945
Everyone can do this sport,,,,,,,1,,,,,,,France,Man,Athletics,55-65,Handball,155120967
Gymnastics is practiced by both men and women,1,,,,,,,,,,,,,Poland,Man,Gymnastics,35-44,Rugby,155120987
"It is important to note that football, like many other sports, has historically been dominated by men and there are still obstacles to overcome when it comes to the inclusion of women in professional sport. However, it is true that football is often cited as one of the most gender-inclusive professional sports for several reasons: 1. Popularity: Football is the most popular sport in the world, which means that it enjoys global visibility and a significant fan base, which can help promote the inclusion of women in sport. 2. Changing mentalities: Over the years, there has been a changing mentality in professional football, with more and more support for women's teams, initiatives to promote gender equality and fight against discrimination, and an increase in the visibility of female athletes. 3. Professional structures: Many professional football leagues have developed structures for women's teams, providing professional and career development opportunities for players, which helps to strengthen the inclusiveness of the sport. 4. Success of women's teams: Women's national football teams have enjoyed great success and won international titles, which has helped increase the visibility and recognition of players, paving the way for greater inclusion of women in football. Although progress has been made, there is still work to be done to ensure true gender equality in professional football and sport in general.",1,1,,,1,,1,1,,1,1,,,France,Man,Football,45-54,Golf,155121000
Feels more like a typical women’s sport,,,,,,,,,,1,,,,Germany,Woman,Gymnastics,45-54,Football,155121003
Women are more married,,,,,,,,,,1,,,,Sweden,Man,Gymnastics,55-65,Rugby,155121008
It's open to everyone,,,,,,,1,,,,,,,France,Woman,Athletics,45-54,Basketball,155121013
Because there have always been mixed doubles tournaments,,,,,,,,,,,,,1,France,Man,Tennis,55-65,Basketball,155121021
Because it's the most popular sport,,,,,1,,,,,,,,,Poland,Man,Football,25-34,Golf,155121028
because it is a symmetrical reflection between the sexes,,,,,,,,,,,,,1,Poland,Man,Volleyball,35-44,Athletics,155121029
Rather masculine,,,1,,,,,,,,,,,France,Man,Cycling,45-54,Volleyball,155121032
everyone can take part in it regardless of age,,,,,,,1,,,,,,,Poland,Woman,Cycling,25-34,Football,155121045
"Men do exactly what women do (volleyball teams), what's more, they are subject to exactly the same rules (except for the height of the net, I guess).",1,,,,,,,,,,,,,Poland,Man,Volleyball,55-65,Golf,155121046
Women have been taking part in this sport for a long time,,,,,,,,,,1,,,,Poland,Man,Gymnastics,55-65,Golf,155121060
because women are superior to men,,,,,,,,,,1,,,,France,Man,Gymnastics,55-65,Rugby,155121066
Because it's almost exactly on the same equal footing,,,,,,,,1,,,,,,Sweden,Man,Golf,35-44,Basketball,155121067
Because in my opinion it is very fair there,,,,,,,,,,,,,1,Germany,Man,Athletics,35-44,Rugby,155121071
There is an equal amount of both,,,,,,,,1,,,,,,Germany,Woman,Tennis,45-54,Rugby,155121087
More open without stereotypes,,,,,,,,,,,,,1,France,Man,Gymnastics,55-65,Football,155121105
Mindset,,,,,,,,,,,,,1,France,Man,Rugby,45-54,Cycling,155121113
Because everyone can do this kind of gymnastics,1,,,,,,,,,,,,,Germany,Woman,Athletics,25-34,Handball,155121132
Paraport in Chartres,,,,,,,,,,,,,1,France,Man,Football,35-44,Golf,155121145
Equal prize money.,,,,1,,,,,,,,,,Sweden,Man,Tennis,45-54,Rugby,155121152
The participation of women and men is relatively equally visible,,,,,,,,1,,,,,,Poland,Man,Athletics,35-44,Rugby,155121153
It brings people and the public together,,,,,,,1,,,,,,,France,Man,Football,55-65,Basketball,155121154
Because most of the time men are conceived and rarely women,,,,,,,,,,1,,,,Germany,Woman,Football,35-44,Rugby,155121156
Women practice this sport with their own criteria,,,,,,,,,,1,,,,France,Man,Gymnastics,55-65,Rugby,155121164
The well-attended men's and women's events,,,,,,,,,,1,,,,France,Man,Athletics,45-54,Cycling,155121167
opinion based on intuition,,,,,,,,,,,,,1,Poland,Man,Tennis,55-65,Basketball,155121183
Because women also have a lobby there,,,,,,,,,,1,,,,Germany,Woman,Athletics,25-34,Football,155121184
You are in tomorrow today,,,,,,,,,,,,,1,Poland,Man,Rugby,35-44,Golf,155121185
Support both boys and girls,,,,,,1,,,,,,,,France,Man,Rugby,55-65,Golf,155121197
Because there are all sorts of opportunities there,,1,,,,,,,,,,,,Poland,Man,Gymnastics,25-34,Rugby,155121203
There can be no interpretation,,,,,,,,,,,,,1,France,Man,Rugby,35-44,Athletics,155121204
He receives the same bonuses,,,,,,,,1,,,,,,France,Man,Tennis,55-65,Rugby,155121215
Because it is most similar in terms of rewards to the case of Ania's gender,,,,,,,,,,,,,1,Poland,Man,Football,45-54,Tennis,155121220
Respect is very strong in this team sport,,,,,,,,,,,,,1,France,Man,Basketball,45-54,Golf,155121231
No idea,,,,,,,,,,,,,1,France,Man,Football,55-65,Golf,155121287
Historically,,,,,,,,,,,,,1,France,Man,Athletics,45-54,Golf,155121308
I think there is an even distribution between men and women.,,,,,,,,,,1,,,,Sweden,Man,Tennis,25-34,Rugby,155121544
it's the one I see most women and men play.,,,,,,,,,,1,,,,Sweden,Man,Tennis,35-44,Rugby,155121551
Because women's football is coming,1,,,,,,,,,1,,,,Germany,Man,Football,35-44,Cycling,155121651
Fits women,,,,,,,,,,1,,,,Sweden,Man,Basketball,55-65,Rugby,155121652
Feels like that,,,,,,,,,,,,,1,Sweden,Man,Volleyball,35-44,Rugby,155121675
Hockey,,,,,,,,,,,,,1,Sweden,Man,Football,18-24,Gymnastics,155121712
Many women,,,,,,,,,,1,,,,Sweden,Man,Football,18-24,Basketball,155121774
The women are also noticed and there is mixed,,,,,,,,,,1,,,,Sweden,Man,Tennis,35-44,Rugby,155121782
Equally talented but not the same salary,,,,,,,,1,,,,,,Sweden,Man,Tennis,55-65,Volleyball,155121854
Because the general interest in events is almost the same,,,,,,,,1,,,,,,Germany,Man,Volleyball,45-54,Rugby,155121908
see playing areas.,,,,,,,,,,,,,1,Germany,Man,Tennis,55-65,Football,155121955
There are more women playing,,,,,,,,,,1,,,,Sweden,Woman,Volleyball,35-44,Rugby,155122199
I think it looks like that,,,,,,,,,,,,,1,Sweden,Man,Athletics,45-54,Football,155122200
Football is appreciated regardless of gender,1,,,,,,,,,,,,,Sweden,Man,Football,55-65,Athletics,155122209
it's so,,,,,,,,,,,,,1,Germany,Man,Football,55-65,Cycling,155122248
Feels most balanced,,,,,,,,,,,,,1,Sweden,Man,Athletics,18-24,Gymnastics,155122271
Earnings are largely the same here (including advertising revenue).,,,,1,,,,,,,,1,,Germany,Man,Tennis,55-65,Football,155122338
an equal sport,,,,,,,,1,,,,,,Germany,Man,Cycling,55-65,Rugby,155122606
Women have made the most progress here,,,,,,,,,,1,,,,Germany,Man,Football,45-54,Golf,155123071
Because it is at the centre of visibility and fewer grievances remain in the shadows.,,,,,,,,,,,,,1,Germany,Man,Football,35-44,Gymnastics,155123727
Women are equal,,,,,,,,1,,,,,,Germany,Man,Athletics,55-65,Rugby,155124015
"Unfortunately, women were allowed to play football",1,,,,,,,,,,,,,Germany,Man,Football,45-54,Gymnastics,155124112
because all kinds of people practice,,,,,,,,,,,,,1,France,Man,Tennis,45-54,Golf,155129451
there are the same competitions for women and men,,,,,,,,1,,,,,,Germany,Woman,Athletics,45-54,Golf,155129502
we see men and women,,,,,,,,,,1,,,,France,Man,Athletics,55-65,Rugby,155129510
because I think there are more women represented,,,,,,,,,,1,,,,France,Woman,Gymnastics,45-54,Golf,155129537
"Individual sport, great importance given to imagination.",,,,,,,,,,,,,1,France,Man,Gymnastics,55-65,Rugby,155129541
they don't make a difference,,,,,,,,,,,,,1,France,Woman,Basketball,45-54,Football,155129544
Women's teams,,,,,,,,,,1,,,,Germany,Woman,Football,18-24,Rugby,155129552
Same representation for men and women,,,,,,,1,,,,,,,France,Woman,Tennis,45-54,Golf,155129563
Because it is known,,,,,,,,,,,,,1,France,Man,Football,25-34,Golf,155129568
Because women play men too,,,,,,,,,,1,,,,France,Woman,Tennis,25-34,Rugby,155129578
There is more variety of gender,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,35-44,Rugby,155129582
It is normally a mixed sport,,,,,,,,,,,,,1,France,Woman,Cycling,45-54,Rugby,155129583
There is full representation,,,,,,,1,,,,,,,Spain,Woman,Tennis,25-34,Handball,155129587
It is for both sexes,,,,,,1,,,,,,,,Spain,Man,Gymnastics,25-34,Rugby,155129594
Because many people see it,,,,,,,,,,,,,1,Spain,Man,Football,35-44,Rugby,155129599
More athletes and more calls. Attention,,,,,,,,,,,,,1,Spain,Man,Football,45-54,Rugby,155129600
premiums are equivalent for men and women,,,,,,,,,,1,,,,France,Man,Athletics,55-65,Rugby,155129609
Because there are many female participants,,,,,,,,,,1,,,,Spain,Woman,Athletics,45-54,Rugby,155129611
There is a lot of variety in gymnastics and it is a sport for both women and men.,1,,,,,,,,,,,,,Spain,Woman,Gymnastics,35-44,Handball,155129614
It is considered feminine,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,35-44,Cycling,155129628
because the woman's body is not sexualized,,,,,,,,,,,,,1,Spain,Woman,Tennis,25-34,Cycling,155129646
There aren't too many women's competitions,,,,,,,,,,1,,,,France,Man,Golf,45-54,Football,155129647
"Being a more individual sport, the rights are the same for all players",,,,,,,,1,,,,,,Spain,Woman,Tennis,25-34,Rugby,155129652
It's equal,,,,,,,,1,,,,,,Spain,Woman,Gymnastics,25-34,Basketball,155129656
Less problems,,,,,,,,,,,,,1,Spain,Woman,Athletics,35-44,Football,155129663
Athletes are treated equally.,,,,,,,,1,,,,,,Spain,Man,Gymnastics,55-65,Football,155129673
I think there are more women than in other sports.,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,45-54,Rugby,155129679
Professional tennis players are more recognized,1,,,,,,,,,,,,,Spain,Man,Tennis,45-54,Rugby,155129682
The genders that have fewer opportunities in other sports in Gymnastics are older.,1,1,,,,,,,,,,,,Spain,Man,Gymnastics,35-44,Rugby,155129683
Because it is usually individual,,,,,,,,,,,,,1,Spain,Man,Athletics,55-65,Football,155129684
Any participant is matched,,,,,,,,,,,,,1,Spain,Man,Athletics,25-34,Basketball,155129685
