text,Status quo,Gender pay gap,Gender stereotypes,Gender inequality in sports,Gendered sports classification,Lack of awareness,Equal Rights,Resistance to change,Persistent stereotypes in general and in media,Country,Gender,Most inclusive Sport,Age,Least inclusive Sport,ResponseId
Things are going very slow,,,,,,1,,1,,Spain,Woman,Handball,45-54,Rugby,155655342
"Because even if we are liberals, we continue to consume sport in the same way",,,,,,,,,1,Spain,Woman,Golf,25-34,Gymnastics,155655348
Women's professional sports continue to be underestimated,,,1,1,1,,,,1,Spain,Woman,Unstated,35-44,,155655352
There is little talk about this in the world of sports,,,,1,,1,,,,Poland,Woman,Rugby,45-54,Basketball,155655406
the stereotypes of each gender are still very marked in this sector,,,1,,,,,,1,Spain,Woman,Tennis,45-54,Rugby,155655420
I don't have the impression,,,,,,1,1,1,,Germany,Woman,Gymnastics,55-65,Rugby,155655443
Established structures,,,,,,,,,,Germany,Man,Tennis,55-65,Golf,155655478
salaries are unequal and so is the broadcasting of competitions by the media,,,,,,,,,,France,Woman,Athletics,35-44,Football,155655604
Poor sponseeship,,,,,,,,,,UK,Man,Gymnastics,55-65,Handball,155655680
Slightly,,,,,,,,,,UK,Man,Gymnastics,45-54,Rugby,155655855
"We remain the same, although on the surface it seems that we have changed.",,,,,,,,,,Spain,Man,Volleyball,45-54,Football,155655892
"Economic reasons, the female sector does not generate as much income",,1,1,,,,,,,Spain,Man,Gymnastics,55-65,Rugby,155655910
Because it doesn't have them or what,,,,,,1,,1,,Sweden,Woman,Football,18-24,Gymnastics,155655998
"Despite the fear of being discovered in relation to their conception of the superiority of their sex, the majority of men still believe in it deeply.",,,1,,,,,,1,France,Woman,Unstated,55-65,,155656009
No change,1,,,,,,,,,UK,Woman,Athletics,25-34,Rugby,155656068
Always the same stereotypes that predominate,,,,,,,,,1,France,Man,Handball,25-34,Football,155656091
Women are increasingly paid less than men,,1,1,,,,,,,Germany,Woman,Football,55-65,Basketball,155656197
Women still receive less attention and pay,,1,1,,,,,,,Germany,Man,Football,35-44,Golf,155656258
Not aware,,,,,,1,1,1,,Sweden,Woman,Golf,55-65,Rugby,155656265
didn't notice it,,,,,,1,,,,Sweden,Woman,Gymnastics,18-24,Golf,155656388
LGBT people do not exist or are very rare,,,,,,,,,,Poland,Woman,Tennis,45-54,Cycling,155656548
"Too many stickers stuck in public asking for equality. Normally, there shouldn't be such a thing. We are all equal",,,,,,,,,,Germany,Woman,Cycling,55-65,Football,155656803
Nothing happens there,,,,,,1,1,1,,Sweden,Man,Football,55-65,Handball,155656824
there are areas where this is difficult,,,,,,,,1,,Poland,Man,Gymnastics,45-54,Rugby,155657122
It is a highly ossified structure,,,,,,,,1,,Poland,Woman,Unstated,55-65,,155657856
There are no spectacular changes in the access and remuneration of athletes of different genders.,,,,,,,,,,Poland,Woman,Golf,55-65,Athletics,155657898
old habits are not so easy to break,,,,,,,,1,1,Germany,Man,Unstated,55-65,,155658370
Difficult to implement,,,,,,,,1,,Germany,Man,Tennis,55-65,Volleyball,155659389
"so-called professional sports are increasingly used to generate profits - this leads to limiting the circle of beneficiaries, therefore it does not support any inclusiveness",,,,1,,,,,,Poland,Man,Golf,55-65,Football,155659510
It seems to be the same as ever,1,,,,,,1,,,UK,Man,Gymnastics,55-65,Cycling,155660994
I just don’t see any evidence of it,,,,,,1,,,,UK,Man,Volleyball,45-54,Golf,155661034
Because men are chairmen,,,1,,,,,,1,Germany,Woman,Basketball,35-44,Golf,155661374
is my feeling,,,,,,,1,,,Germany,Man,Unstated,55-65,,155663021
The prejudices still exist,,,,,,,,,1,Germany,Man,Football,55-65,Golf,155664156
Too closed and not enough visibility,,,,,,1,,1,,France,Man,Golf,45-54,Football,155670612
No or almost no mixed sports,,,,1,1,,,,,France,Woman,Unstated,35-44,,155670649
Tennis,,,,,,,,,,France,Woman,Volleyball,45-54,Golf,155670659
Not much visible,,,,,,1,,1,,France,Man,Volleyball,45-54,Golf,155670812
I haven't noticed any changes,1,,,,,1,,,,Germany,Man,Unstated,35-44,,155670843
Men in sports are paid higher,,1,,1,,,,,,Poland,Woman,Unstated,55-65,,155671364
Most disciplines are the domain of men,,,1,,,,,,,Poland,Woman,Football,55-65,Gymnastics,155671389
I THINK THEY'RE NOT INTERESTED,,,,,,1,,,,Spain,Man,Tennis,45-54,Rugby,155671419
Because I don't see anything different,1,,,,,,1,,1,Spain,Woman,Football,55-65,Tennis,155671510
Because I know cases where LGBT people were expelled from the team. It was about men when it was reported to the coach that they were gay.,,,,1,,,,,,Poland,Woman,Unstated,55-65,,155671577
They continue to charge less,,,,,,,,,,Spain,Man,Unstated,55-65,,155671703
Sexism,,,,,,,,,,Spain,Woman,Volleyball,55-65,Cycling,155671784
He doesn't talk about it and no changes have been made,1,,,,,1,,,1,France,Woman,Golf,25-34,Cycling,155672040
The economy has caused it to go down,,,,,,,,1,,Sweden,Man,Gymnastics,45-54,Rugby,155672546
Good question,,,,,,,1,1,,Sweden,Man,Volleyball,18-24,Rugby,155673600
Because not much happened,,,,,,1,,1,1,Germany,Man,Football,35-44,Golf,155678855
You hear nothing about it and also in the carnival area (DM) for example no dance major/men's ballet took part,,,,,,1,,,,Germany,Woman,Athletics,25-34,Rugby,155711761
Women continue to earn less money,,1,1,,,,,,,Germany,Woman,Athletics,45-54,Rugby,155711889
it's always the same insults and others,,,,,,,,,,France,Man,Unstated,25-34,,155712669
Feels like it has always been,1,,,,,,1,,,Sweden,Woman,Gymnastics,18-24,Rugby,155753278
