text,Masculine-centric / Brutal sport,Male dominated sport,Personal impression/Intuition,Lack of familiarity,Underrepresentation of Women,Wage Inequality,Sexist or sexualised,Media visibility / lack of awareness,Gender disparities,Other,Country,Gender,Most inclusive Sport,Age,Least inclusive Sport,ResponseId
Still stereotypical,,,,,,,,,,,Sweden,Man,Football,35-44,Rugby,155089136
I don't know,,,,1,,,,,,,UK,Man,Football,35-44,Athletics,155089148
People are afraid to be who they truly are for fear of abuse from fans,,,,,,,,,,1,UK,Woman,Cycling,45-54,Football,155089154
"I know the least about this sport, so can't judge it properly.",,,,1,,,,,,,UK,Man,Tennis,45-54,Handball,155089173
It good,,,,,,,,,,1,UK,Man,Football,35-44,Cycling,155089174
I can't say exactly,,,,,,,,,,,Germany,Man,Football,45-54,Rugby,155089177
No nothing about handball,,,,,,,,,,1,UK,Man,Athletics,55-65,Handball,155089180
few are interested in it,,,,,,,,,,1,UK,Man,Basketball,35-44,Gymnastics,155089189
No,,,,,,,,,,1,UK,Man,Golf,25-34,Gymnastics,155089203
Too rough for ladies,,,,,,,,,,,UK,Woman,Tennis,55-65,Rugby,155089216
I cant think of any women’s teams,,,,,,,,,,1,UK,Woman,Tennis,45-54,Rugby,155089225
I don't think I've seen a woman playing golf,,,,,,,,1,1,,UK,Man,Athletics,25-34,Golf,155089227
Few women play but that might be down to choice rather than professional obstacles,,,,,,,,,,1,UK,Woman,Athletics,55-65,Rugby,155089238
It is not common to find other genders apart from male participating in rugby,,,,,,,,,1,,UK,Woman,Athletics,45-54,Rugby,155089243
I don’t know much about it,,,,1,,,,,,,UK,Woman,Football,55-65,Handball,155089270
Don't see many male,,,,,,,,1,,,UK,Man,Golf,35-44,Gymnastics,155089288
It’s got both genders in it.,,,,,,,,,,,UK,Woman,Gymnastics,18-24,Basketball,155089325
Never seen a women's game,,,,,,,,1,,,UK,Man,Tennis,35-44,Rugby,155089351
It has very sexist ideals,,,,,,,1,,,,UK,Man,Basketball,25-34,Football,155089397
Too many balls,,1,,,,,,,,,UK,Man,Cycling,35-44,Handball,155089398
Many people don't like getting hurt during the game,,1,,,,,,,,,UK,Man,Football,25-34,Rugby,155089444
It's too rough.,,,,,,,,,,,UK,Man,Football,35-44,Rugby,155089448
Typically seen as a male game,,,,,,,,1,,,UK,Woman,Tennis,45-54,Rugby,155089475
It is accepted by both gender,,,,,,,,,,1,UK,Man,Football,35-44,Athletics,155089524
Because if fantastic,,,,,,,,,,1,UK,Man,Basketball,35-44,Volleyball,155089550
"Golf is often seen as one of the least gender-inclusive professional sports for a few reasons. First, it has traditionally been seen as a male-dominated sport, with very few women's tournaments and opportunities for women to play professionally. Second, it's a very expensive sport, which can be a barrier to entry for many women and girls. Third, it has a reputation for being a sport for the elite, which can make it seem inaccessible to those who don't have the right connections or resources. Finally, it's often associated with certain stereotypes about gender and class, which can be off-putting to those who don't",,1,,,,,,1,1,,UK,Man,Football,25-34,Golf,155089565
They are not trying enough,,,,,,,,,,1,UK,Man,Football,25-34,Cycling,155089586
Because it is mostly not given much interest,,,,,,,,,,,UK,Woman,Football,25-34,Tennis,155089636
Have not seen ladies playing volleyball,,,,,,,,1,,,UK,Woman,Tennis,55-65,Volleyball,155089667
Yes,,,,,,,,,,1,UK,Man,Football,35-44,Athletics,155089669
Don’t know much about a few of the sports mentioned,,,,1,,,,,,,UK,Man,Tennis,55-65,Basketball,155089679
Out of the picks it's still mostly about men,,,,,,,,,,,UK,Man,Football,55-65,Basketball,155089680
Few women participation,,,,,1,,,,,,UK,Woman,Tennis,35-44,Basketball,155089700
It was a bit of a guess,,,,,,,,,,1,UK,Man,Golf,55-65,Tennis,155089720
Expensive to become a professional,,,,,,1,,,,,UK,Man,Cycling,55-65,Tennis,155089735
I think so,,,1,,,,,,,,UK,Man,Gymnastics,45-54,Cycling,155089750
Women don't really participate,,,,,1,,,,,,UK,Man,Basketball,25-34,Rugby,155089772
You need to be strong,,,,,,,,,,1,UK,Man,Gymnastics,25-34,Rugby,155089777
They ain't nice handling women,,,,,,,,,,,UK,Woman,Basketball,35-44,Football,155089779
No one will watch,,,,,,,,,,1,UK,Woman,Volleyball,25-34,Football,155089791
Always it is for men priorities,,,,,,,,,,,UK,Woman,Football,25-34,Athletics,155089810
"Less coverage, money and eyes on it",,,,,,1,,,,,UK,Man,Gymnastics,45-54,Rugby,155089822
Because everyone is treated equally,,,,,,,,,,1,UK,Woman,Basketball,35-44,Handball,155089849
I can’t recall hearing about a womens race,,,,,,,,,,1,UK,Man,Football,55-65,Cycling,155089883
Because of how the sport is and to protect the female gender because of their vulnerability,,,,,,,,,,1,UK,Man,Football,25-34,Rugby,155089895
No particular reason,,,,,,,,,,1,UK,Woman,Football,55-65,Volleyball,155089913
Stereotypes of manly men playing a man's game,1,,,,,,,,,,UK,Man,Volleyball,45-54,Rugby,155089942
male dominated,,1,,,,,,,,,UK,Man,Golf,35-44,Football,155089980
very large pay gap,,,,,,1,,,,,UK,Man,Tennis,18-24,Football,155089987
Not that it isn’t inclusive as you see lots of female cyclists at the olympics. But in other professional cycling events such as the Tour de France you don’t hear much about female cycling.,,,,,,,,1,,,UK,Man,Athletics,25-34,Cycling,155090000
I don't know enough about it,,,,1,,,,,,,UK,Man,Tennis,55-65,Volleyball,155090037
Don’t see many female golfers,,1,,,,,,1,1,,UK,Man,Volleyball,35-44,Golf,155090049
Little women break easier than big men,,,,,,,,,,1,UK,Man,Gymnastics,55-65,Rugby,155090053
not enough inclusive for everyone,,,,,,,,,,1,UK,Man,Tennis,45-54,Volleyball,155090085
The men are seriously underrepresented.,,,,,,,,,,,Sweden,Man,Tennis,35-44,Gymnastics,155090106
Least favourite sport,,,,,,,,,,1,UK,Man,Gymnastics,45-54,Handball,155090132
they play separate,,,,,,,,,,1,UK,Man,Football,55-65,Tennis,155090150
It is female dorminated,,,,,,,,,,,UK,Man,Gymnastics,25-34,Volleyball,155090157
Both sexes can do it,,,,,,,,,,1,UK,Man,Athletics,45-54,Golf,155090195
It's always segregated,,,,,,,,,,1,UK,Man,Tennis,35-44,Football,155090212
More of female,,,,,,,,,,1,UK,Man,Football,35-44,Volleyball,155090214
It's thought of a man's game,,,,,,,,,,,UK,Man,Gymnastics,55-65,Rugby,155090245
Rugby is a very very physical sport.,,,,,,,,,1,,UK,Woman,Football,35-44,Rugby,155090253
I don’t actually think it is. It is available to anyone,,,,,,,,,,1,UK,Man,Basketball,45-54,Handball,155090261
TOO DANGEROUS,,,,,,,,,,1,UK,Man,Football,55-65,Rugby,155090277
Gymnastics has many problems it is overcoming at the moment.,,,,,,,,,,1,UK,Man,Rugby,45-54,Gymnastics,155090279
Because mostly men play,,,,,,,,,,,UK,Man,Tennis,18-24,Golf,155090298
I’m not aware of any significant female players,,,,,,,,,,1,UK,Man,Football,55-65,Golf,155090311
I haven’t seen a lady golfer,,,,,,,,1,1,,UK,Man,Athletics,35-44,Golf,155090338
Because it mainly focus on a particular gender .,,,,,,,,,,,UK,Man,Football,25-34,Golf,155090385
It is mainly men,,,,,,,,,,,UK,Woman,Tennis,45-54,Football,155090451
I have only ever hear or seen of male golfers,,,,,,,,1,1,,UK,Man,Football,18-24,Golf,155090481
Rarely I've seen women being associated with that sport,,,,,1,,,1,,,UK,Man,Football,25-34,Gymnastics,155090688
Macho sport,1,,,,,,,,,,UK,Man,Athletics,35-44,Rugby,155090979
Because I'm a victim,,,,,,,,,,1,UK,Man,Golf,18-24,Volleyball,155091029
Because I have only ever heard about male teams and I can’t think of any leagues with other genders,,,,,,,,,,1,UK,Woman,Athletics,45-54,Basketball,155091122
Equal opportunity given to both genders,,,,,,,,,,1,UK,Woman,Volleyball,25-34,Tennis,155091152
Its more for women,,,,,,,,,,,UK,Man,Basketball,35-44,Gymnastics,155091195
Women who play rugby get stereotyped as unfemimine,,,,,,,,,1,,UK,Woman,Tennis,18-24,Rugby,155091304
Macho masculine,1,,,,,,,,,,UK,Woman,Volleyball,35-44,Rugby,155091699
Men’s football always takes the full coverage,,1,,,,,,,1,,UK,Woman,Volleyball,45-54,Football,155091781
Because I didnt see it alot,,,,,,,,1,,,UK,Man,Football,35-44,Basketball,155091885
Dint know enough to know where to rank handball,,,,1,,,,,,,UK,Woman,Gymnastics,45-54,Handball,155091983
As more women are out numbering men in football,,1,,,,,,,1,,UK,Woman,Gymnastics,45-54,Football,155092005
It is very aggressive and is less liked or practiced by fewer women.,,,,,,,,,,,Spain,Woman,Athletics,45-54,Rugby,155120177
Few women participate,,,,,1,,,,,,Spain,Man,Tennis,35-44,Basketball,155120202
I'm not into girls' soccer,,,,,,,,,,1,Spain,Man,Gymnastics,45-54,Football,155120225
Less impact,,,,,,,,,,1,Spain,Man,Football,35-44,Golf,155120228
Evidently it is where fewer women participate,,,,,1,,,,,,Spain,Man,Athletics,45-54,Rugby,155120234
Sees only men who practice this sport,,1,,,,,,,,,Sweden,Woman,Handball,25-34,Rugby,155120237
BECAUSE THERE ARE FEW WOMEN,,,,,1,,,,,,Spain,Woman,Basketball,45-54,Volleyball,155120242
Many micromachismos,1,,,,,,,,,,Spain,Man,Gymnastics,35-44,Football,155120245
For as good professionals as men,,,,,,,,,,1,Spain,Woman,Cycling,45-54,Tennis,155120247
Yeah,,,,,,,,,,1,Spain,Man,Volleyball,18-24,Basketball,155120251
There is equality,,,,,,,,,,1,Spain,Man,Golf,25-34,Basketball,155120258
A lot of machismo,1,,,,,,,,,,Spain,Man,Football,55-65,Rugby,155120260
because women tend to stand out more,,,,,,,,,,1,Spain,Man,Cycling,18-24,Volleyball,155120262
I have only heard of men playing rugby and I think it is considered -for men- because they are very rough at the game and have to push each other,,,1,,,,,1,1,,Spain,Woman,Football,25-34,Rugby,155120263
Do not advance,,,,,,,,,,1,Spain,Man,Football,45-54,Rugby,155120265
Tennis,,,,,,,,,,1,Spain,Woman,Football,25-34,Handball,155120269
because they discriminate against them,,,,,,,1,,,,Spain,Woman,Gymnastics,18-24,Football,155120270
Because I have never seen a woman play rugby,,,,,,,,1,1,,Spain,Woman,Gymnastics,18-24,Rugby,155120274
Mostly women in gymnastics,,,,,,,,,,1,Sweden,Woman,Rugby,35-44,Gymnastics,155120282
Same as the previous question.,,,,,,,,,,1,Spain,Woman,Volleyball,25-34,Basketball,155120287
I have seen only men who play rugby,,1,,,,,,1,1,,Sweden,Woman,Football,18-24,Rugby,155120295
"They don't usually talk about much nor do they broadcast women's rugby matches, nor is it encouraged in universities",,,,,,,,,1,,Spain,Woman,Gymnastics,35-44,Rugby,155120296
"There are such big differences in pay, decision-making and respect within a profession",,,,,,1,,,,,Sweden,Woman,Rugby,25-34,Football,155120310
More men tend to participate,,,,,,,,,,,Spain,Woman,Gymnastics,25-34,Golf,155120311
Most excluded,,,,,,,,,,1,Sweden,Man,Athletics,25-34,Handball,155120317
Due to lack of opportunities for it,,,,,,,,,,1,Spain,Woman,Volleyball,35-44,Cycling,155120321
Men predominate,,1,,,,,,,,,Spain,Woman,Volleyball,18-24,Basketball,155120323
Some branches are strongly linked to a particular gender,,,,,,,,,,,Sweden,Man,Football,55-65,Athletics,155120329
The feminine is very little encouraged,,,,,,,,,,,Spain,Man,Gymnastics,45-54,Rugby,155120336
Because there are no famous female players,,,,,,,,,,1,Spain,Woman,Volleyball,18-24,Football,155120339
Mostly men play,,,,,,,,,,,Sweden,Woman,Gymnastics,45-54,Golf,155120340
Inequality of opportunities,,,,,,,,,,1,Spain,Woman,Tennis,45-54,Rugby,155120346
Because it is a very brutal sport,1,,,,,,,,,,Spain,Woman,Golf,18-24,Rugby,155120347
Because they only accept men or women,,,,,,,,,,,Spain,Woman,Athletics,18-24,Football,155120351
I watch very little women's handball,,,,,,,,,,1,Spain,Man,Gymnastics,45-54,Handball,155120355
You hear less,,,,,,,,1,,,Spain,Woman,Gymnastics,45-54,Rugby,155120357
I don't know that sport,,,,1,,,,,,,Spain,Man,Football,25-34,Golf,155120359
you cannot talk about orientation naturally,,,,,,,,,,1,Spain,Man,Gymnastics,55-65,Football,155120365
apparently it looks more like men,,,,,,,,,,,Spain,Man,Athletics,45-54,Golf,155120375
"It is a sport in which there is a majority of men, and the women's teams are not well known.",,,,1,,,,,,,Spain,Woman,Gymnastics,55-65,Rugby,155120381
because I don't know anyone,,,,1,,,,1,,,Spain,Woman,Football,25-34,Golf,155120382
It's very classist,,,,,,,,,,,Spain,Man,Volleyball,35-44,Tennis,155120383
I've never seen anything about women's cycling,,,,,,,,1,,,Spain,Man,Athletics,35-44,Cycling,155120384
Doesn't make money,,,,,,1,,,,,Spain,Man,Football,35-44,Rugby,155120389
I don't like,,,,,,,,,,1,Spain,Man,Basketball,45-54,Tennis,155120395
Croesus is the one who remains the most sexist,,,,,,,1,,,,Spain,Man,Gymnastics,55-65,Rugby,155120399
Experiences that most men practice the sport,,,,,,,,,,,Sweden,Woman,Athletics,35-44,Cycling,155120401
More to put on the goods in these sports,,,,,,,,,,1,Sweden,Woman,Athletics,35-44,Rugby,155120428
taller guys needed,,,,,,,,,,1,Sweden,Woman,Gymnastics,55-65,Basketball,155120429
It is a very contact sport.,1,,,,,,,,,,Spain,Man,Tennis,45-54,Rugby,155120431
Fruntimmer does not have the physique for this.,,,,,,,,,,,Sweden,Man,Athletics,55-65,Rugby,155120459
Only sees men,,,,,,,,1,,,Sweden,Woman,Football,35-44,Tennis,155120463
"Haven't seen women play, for example",,,,,1,,,1,,,Sweden,Woman,Tennis,25-34,Volleyball,155120466
It is far too male-dominated,,1,,,,,,,,,Sweden,Man,Tennis,25-34,Rugby,155120468
is equal,,,,,,,,,,1,Spain,Man,Athletics,25-34,Gymnastics,155120476
Women's football still not accepted,,1,,,,,,,1,,Germany,Woman,Athletics,25-34,Football,155120486
Macho sports,1,,,,,,,,,,Sweden,Man,Gymnastics,35-44,Rugby,155120494
why female athletes are discriminated against,,,,,,,1,,,,Spain,Man,Football,45-54,Athletics,155120507
A sport requiring the use of great strength and height,,,,,,,,,,1,Poland,Woman,Basketball,45-54,Rugby,155120508
It is mostly practiced by men,,,,,,,,,,,Spain,Man,Gymnastics,55-65,Rugby,155120519
It is a sport considered mainly male. Even the Euro. Women do not take part in the qualifications,,,,,,,,,,1,Poland,Woman,Volleyball,25-34,Football,155120527
Are there even female rugby players?,,,,,,,,,1,,Sweden,Man,Gymnastics,45-54,Rugby,155120529
it remains rather feminine,,,,,,,,,,,France,Woman,Football,55-65,Gymnastics,155120531
He is professional,,,,,,,,,,,Spain,Man,Handball,25-34,Football,155120550
we talk very little about it,,,,,,,,,,1,France,Man,Gymnastics,45-54,Golf,155120551
I have never seen a cycling tour where a woman participated,,,,,,,,1,,,Spain,Man,Gymnastics,45-54,Cycling,155120552
I didn't see any women playing rugby,,,,,,,,1,1,,Poland,Woman,Athletics,25-34,Rugby,155120559
I have never seen women,,,,,1,,,1,,,Spain,Man,Athletics,45-54,Rugby,155120567
because it is for both women and men,,,,,,,,,,1,Spain,Man,Golf,45-54,Handball,155120576
I don't remember any women's rugby team,,,,1,,,,,1,,Spain,Man,Athletics,55-65,Rugby,155120580
I don't know this sport well,,,,1,,,,,,,France,Woman,Handball,45-54,Golf,155120582
He's too brutal,1,,,,,,,,,,Poland,Man,Volleyball,55-65,Rugby,155120589
"Because only men play in EURO matches, for example",,1,,,,,,,,,Poland,Woman,Volleyball,35-44,Football,155120593
Cycling,,,,,,,,,,1,France,Man,Unstated,18-24,,155120595
Because we underestimate girls,,,,,,,,,,1,France,Woman,Tennis,18-24,Football,155120596
because there is equality,,,,,,,,,,1,Poland,Woman,Football,25-34,Golf,155120602
Often written as too violent for a woman,,,,,,,,,,,France,Woman,Gymnastics,18-24,Rugby,155120610
Gymnastics is more associated with women,,,,,,,,,,1,Poland,Woman,Football,18-24,Gymnastics,155120612
The channels only broadcast boys,,,,,,,,,,,France,Man,Football,18-24,Volleyball,155120614
Because it's a typical sport for men,,,,,,,,,,,Poland,Man,Gymnastics,35-44,Rugby,155120619
It is an absolutely male sport and almost mostly dominated by men,,1,,,,,,,,,Poland,Woman,Gymnastics,35-44,Football,155120620
I don't know any woman who is a cyclist,,,,1,,,,1,,,Poland,Man,Football,35-44,Cycling,155120626
"Rugby is a typically male sport, as women are exposed to injuries that may be more unpleasant than those experienced by men.",,1,,,,,,,1,,Poland,Man,Cycling,45-54,Rugby,155120632
"Whether man or woman, both are there",,,,,,,,,,1,France,Woman,Golf,55-65,Gymnastics,155120638
"Rugby is an intense contact sport, which can be intimidating for women and girls.",1,,,,,,,,1,,France,Man,Football,55-65,Rugby,155120641
This sport is treated almost equally,,,,,,,,,,1,Poland,Woman,Rugby,45-54,Gymnastics,155120642
I have personally never seen women's rugby,,,,,,,,1,1,,France,Woman,Football,18-24,Rugby,155120649
Stomach,1,,,,,,,,,,France,Man,Handball,18-24,Gymnastics,155120654
because a lot of women play it,,,,,,,,,,1,Poland,Woman,Tennis,35-44,Handball,155120661
it’s a non-contact sport,1,,,,,,,,,,France,Man,Rugby,18-24,Gymnastics,155120662
I rarely see women playing it,,,,,1,,,1,,,France,Woman,Athletics,25-34,Tennis,155120668
Lack of equality,,,,,,,,,,1,Poland,Woman,Gymnastics,35-44,Athletics,155120670
"Because I haven't seen a girl playing rugby, it's more of a male sport",,,,,,,,1,1,,Poland,Woman,Gymnastics,18-24,Rugby,155120672
Matcho,,,,,,,,,,1,France,Man,Gymnastics,45-54,Rugby,155120673
Because the male gender predominates here,,1,,,,,,,,,Poland,Woman,Football,45-54,Golf,155120680
Because it's a men's sport,1,1,,,,,,,,,Poland,Man,Athletics,45-54,Rugby,155120682
I think it is still a huge taboo subject in football,,,1,,,,,,1,,Germany,Woman,Cycling,35-44,Football,155120686
"Because football, today, is considered for men",,1,,,,,,,1,,Spain,Man,Tennis,45-54,Football,155120689
Because it’s a sport made for both sexes,,,,,,,,,,,France,Man,Football,18-24,Gymnastics,155120699
I just think so,,,,,,,,,,1,Poland,Man,Athletics,35-44,Rugby,155120701
mostly male,,,,,,,,,,,Spain,Man,Tennis,45-54,Rugby,155120705
The rhythm is very feminine,,,,,,,,,,,Spain,Man,Cycling,45-54,Gymnastics,155120714
It's my very subjective opinion.,,,,,,,,,,1,Spain,Man,Football,55-65,Rugby,155120718
That's what I feel,,,,,,,,,,1,Poland,Man,Football,18-24,Gymnastics,155120719
Yeah,,,,,,,,,,1,Spain,Man,Volleyball,45-54,Athletics,155120720
coverage difference,,,,,,,,,,1,Spain,Man,Cycling,55-65,Gymnastics,155120730
it's for men,,,,,,,,,,,Spain,Man,Athletics,35-44,Rugby,155120735
Men clearly dominate,,1,,,,,,,,,Germany,Man,Gymnastics,55-65,Rugby,155120738
"This sport has always been perceived as extremely brutal and therefore very masculine, because it was believed that men are naturally brutal and women are delicate.",1,,,,,,,,,,Poland,Man,Volleyball,35-44,Rugby,155120739
"Its specific requirements for physical strength, certain aggressiveness and risk of injury make it more accessible to male players. It is also more attractive to spectators if the participants are physically robust.",,,,,,,,,,,Spain,Man,Gymnastics,55-65,Rugby,155120746
Because football is and should remain a men’s sport,,1,,,,,,,1,,Germany,Man,Tennis,55-65,Football,155120754
It is a sport where there is the greatest participation of players from one gender,,,,,,,,,,1,Poland,Man,Volleyball,18-24,Basketball,155120761
Mostly guys,,,,,,,,,,,Sweden,Man,Volleyball,18-24,Handball,155120763
Because physical strength plays a fundamental role,,,,,,,,,,1,Poland,Man,Golf,25-34,Football,155120764
Because there is no femenink,,,,,,,,,,1,Spain,Man,Tennis,45-54,Rugby,155120773
It is an individual sport in which men always succeed.,,,,,,,,,,1,Spain,Man,Football,45-54,Golf,155120777
"However, it is a contact sport and downright brutal",1,,,,,,,,,,Poland,Man,Athletics,45-54,Rugby,155120781
because it is less attractive than the male,,,,,,,,,,,Spain,Man,Gymnastics,25-34,Rugby,155120794
few women,,,,,1,,,,,,Spain,Man,Volleyball,35-44,Golf,155120805
"Because it's a brutal sport, women are a bit too delicate for it",1,,,,,,,,,,Poland,Man,Gymnastics,35-44,Rugby,155120808
They do not receive the same attention and salaries have a huge difference.,,,,,,1,,,,,Spain,Man,Gymnastics,55-65,Football,155120809
"because the survey asks questions that make no sense - you have to rank them somehow, basketball came last",,,,,,,,,,1,Poland,Man,Tennis,45-54,Basketball,155120813
"It is classified as a men's sport, women do not earn the same as men, women's leagues barely generate money compared to men's, it does not have the same follow-up by the media.",1,1,,,,1,,1,,,Spain,Man,Tennis,45-54,Football,155120826
Because I believe in respect and equality.,,,,,,,,,,1,Spain,Man,Football,45-54,Gymnastics,155120831
"It is a typically male sport, and a very brutal one",1,,,,,,,,,,Poland,Man,Gymnastics,55-65,Rugby,155120833
Rich,,,,,,,,,,1,France,Man,Football,55-65,Golf,155120837
Can be mixed,,,,,,,,,,1,France,Man,Golf,45-54,Gymnastics,155120867
Not many women in the field,,1,,,1,,,,,,France,Man,Gymnastics,55-65,Rugby,155120869
Because everyone only thinks about men,,,,,,,,,,,Germany,Woman,Athletics,25-34,Football,155120886
You have to be talented,,,,,,,,,,1,France,Man,Basketball,55-65,Gymnastics,155120892
Typical men's sport. You hardly hear anything about women's rugby teams.,1,1,,,,,,1,1,,Germany,Woman,Golf,25-34,Rugby,155120902
"No, because we talk about it very little in the media, particularly on BFM LYON, the local version of the national continuous news channel BFM TV.",,,,,,,,1,,,France,Man,Cycling,55-65,Basketball,155120911
Manly sport,1,,,,,,,,,,France,Man,Tennis,55-65,Rugby,155120913
Because it's a sport for dudes,,,,,,,,,,,Poland,Man,Cycling,35-44,Golf,155120928
most stereotypically associated with men,,,,,,,,,,,Poland,Man,Tennis,18-24,Rugby,155120982
It is a sport more for men,,,,,,,,,,,Poland,Man,Gymnastics,35-44,Rugby,155120987
"It is true that golf has long been considered one of the least gender-inclusive professional sports, due to several factors: 1. History of masculinity: Golf has a long history of masculinity and resistance to change , with golf clubs and tournaments that have historically excluded women or limited their access and participation. 2. Less visibility of female players: Unlike football or other sports where female athletes receive greater visibility and support, professional female golfers often have fewer competitive opportunities, financial support and media visibility . 3. Pay gaps: In many professional golf tournaments, men's earnings are significantly higher than women's, reflecting persistent gender inequalities in the sport. 4. Exclusive Club Culture: Golf clubs and the cultural environment of golf have often been perceived as exclusive and elitist, which can discourage diversity and inclusion of women and other minority groups. However, it is important to note that progress has been made in golf to promote the inclusion of women, with initiatives aimed at increasing female participation, combating discrimination and promoting gender equality. There is still work to be done to ensure true gender equality in professional golf and sport in general.",1,1,,,,1,1,1,1,,France,Man,Football,45-54,Golf,155121000
The pay of the national team. The men earn millions and the girls can't even live off of it,,,,,,1,,,,,Germany,Woman,Gymnastics,45-54,Football,155121003
It's the sport that I see less on TV,,,,,,,,1,,,France,Man,Tennis,55-65,Basketball,155121021
Tall men are always preferred,,,,,,,,,,1,Germany,I identify in another way,Handball,25-34,Basketball,155121026
Because it is the sport that arouses the least interest,,,,,,,,,,,Poland,Man,Football,25-34,Golf,155121028
there are differences in physiology,,,,,,,,,,1,Poland,Man,Volleyball,35-44,Athletics,155121029
Football is mainly played by men,,1,,,,,,,1,,Poland,Woman,Cycling,25-34,Football,155121045
"I don't remember knowing a golfer, but maybe I'm wrong",,,,1,,,,,1,,Poland,Man,Volleyball,55-65,Golf,155121046
Few women practice this sport,,,,,1,,,,,,Poland,Man,Gymnastics,55-65,Golf,155121060
It is considered more of a men's sport,1,1,,,,,,,,,Germany,Woman,Tennis,25-34,Rugby,155121062
because women's rugby is ridiculous,,,,,,,1,,1,1,France,Man,Gymnastics,55-65,Rugby,155121066
Can be great injustices,,,,,,,,,,1,Sweden,Man,Golf,35-44,Basketball,155121067
Because the sport is practiced almost exclusively by men,,,,,,,,,,,Germany,Man,Athletics,35-44,Rugby,155121071
I only know it with men,,,,1,,,,,,,Germany,Woman,Tennis,45-54,Rugby,155121087
Hard to evolve,,,,,,,,,,1,France,Man,Gymnastics,55-65,Football,155121105
Demanding sport,,,,,,,,,,1,France,Man,Rugby,45-54,Cycling,155121113
Hand is very sporty and people with disabilities probably cannot play handball,,,,,,,,,,1,Germany,Woman,Athletics,25-34,Handball,155121132
Because it is less attractive,,,,,,,,,,,France,Man,Football,35-44,Golf,155121145
Because it's tennis,,,,,,,,,,1,Poland,Man,Handball,18-24,Tennis,155121150
Male dominated sport.,,1,,,,,,,,,Sweden,Man,Tennis,45-54,Rugby,155121152
I don't associate it with women,,,,,,,,,,,Poland,Man,Athletics,35-44,Rugby,155121153
Mostly only men groups,,1,,,,,,,,,Germany,Woman,Football,35-44,Rugby,155121156
It is a sport based above all on virility,,,,,,,,,,,France,Man,Gymnastics,55-65,Rugby,155121164
Men's cycling is much more followed than women's cycling,,,,,,,,,,1,France,Man,Athletics,45-54,Cycling,155121167
Earn little,,,,,,1,,,,1,Germany,Woman,Athletics,25-34,Football,155121184
You don't have to do anything,,,,,,,,,,1,Poland,Man,Rugby,35-44,Golf,155121185
Because strength prevails in this sport,,,,,,,,,,1,Poland,Man,Gymnastics,25-34,Rugby,155121203
Too much controversy,,,,,,,,,,1,France,Man,Rugby,35-44,Athletics,155121204
Women's rugby is recent,,1,,,,,,,1,,France,Man,Tennis,55-65,Rugby,155121215
Because it is racist and chauvinistic,,,,,,,,,,1,Poland,Man,Football,45-54,Tennis,155121220
It's not a sport but a gathering of ambitious proutvprouts,,,,,,,,,,1,France,Man,Basketball,45-54,Golf,155121231
Sport too retrograde,,,,,,,,,,1,France,Man,Athletics,45-54,Golf,155121308
Because I'm bad at them,,,,,,,,,,1,Sweden,Man,Golf,18-24,Handball,155121393
Easy,,,,,,,,,,1,Sweden,Man,Rugby,55-65,Gymnastics,155121501
Male dominated sport,,1,,,,,,,,,Sweden,Man,Tennis,25-34,Rugby,155121544
don't see many women playing it.,,1,,,1,,,1,,,Sweden,Man,Tennis,35-44,Rugby,155121551
Calmer sports,,,,,,,,,,1,Sweden,Man,Basketball,55-65,Rugby,155121652
Volleyball,,,,,,,,,,1,Sweden,Man,Football,18-24,Gymnastics,155121712
A lot of men,,,,,,,,,,,Sweden,Man,Football,18-24,Basketball,155121774
Too macho from the start,1,,,,,,,,,,Sweden,Man,Tennis,35-44,Rugby,155121782
there are only men who play golf,,1,,,,,,,1,,Germany,Man,Athletics,55-65,Golf,155121788
"Sad, but you see them as objects.",,,,,,,1,,,,Sweden,Man,Tennis,55-65,Volleyball,155121854
Women’s rugby attracts little public interest,,1,,,,,,,1,,Germany,Man,Volleyball,45-54,Rugby,155121908
see payment.,,,,,,1,,,,,Germany,Man,Tennis,55-65,Football,155121955
It's a sport for everyone,,,,,,,,,,1,Sweden,Woman,Volleyball,35-44,Rugby,155122199
Believe that spectators are more concentrated by the gender of the participants than in other sports,,,,,,,,,,1,Sweden,Man,Football,55-65,Athletics,155122209
It is seen externally only as a male spirit,,,,,,,,1,,,Germany,Man,Gymnastics,45-54,Football,155122210
Female practitioners only,,,,,,,,,,1,Sweden,Man,Athletics,18-24,Gymnastics,155122271
There are big differences in earnings here.,,,,,,1,,,,,Germany,Man,Tennis,55-65,Football,155122338
The audience doesn’t want to see women playing rugby,,,,,,,,1,1,,Germany,Man,Cycling,55-65,Rugby,155122606
Since it is always the same discussions,,,,,,,,,,1,Germany,Woman,Handball,45-54,Football,155123145
Because it is extremely gender stereotypical to see women in short glittery skirts.,,,,,,,,1,,,Germany,Man,Football,35-44,Gymnastics,155123727
"It's not a sport for women, it's too hard",,,,,,,,,,,Germany,Man,Athletics,55-65,Rugby,155124015
Because men and women are separated,,,,,,,,,,1,Germany,Man,Athletics,55-65,Football,155124175
because its open to the poor,,,,,,,,,,1,France,Man,Tennis,45-54,Golf,155129451
Since only men play in the well-known football teams,,1,,1,,,,,1,,Germany,Woman,Cycling,25-34,Football,155129478
I don't know any female golfer,,,,1,,,,1,1,,Germany,Woman,Athletics,45-54,Golf,155129502
